team_id,team_name,player_id,player_name,position,pro_team,total_points,projected_total_points
1,Luck her right in the Percy,13982,Julio Jones,WR,ATL,300.0,0
1,Luck her right in the Percy,13983,A.J. Green,WR,CIN,224.0,0
1,Luck her right in the Percy,14886,Lamar Miller,RB,HOU,196.5,0
1,Luck her right in the Percy,15920,Latavius Murray,RB,LV,170.5,0
1,Luck her right in the Percy,2330,Tom Brady,QB,NE,337.5,0
1,Luck her right in the Percy,9761,Delanie Walker,TE,TEN,193.0,0
1,Luck her right in the Percy,17177,Allen Hurns,WR,JAX,188.0,0
1,Luck her right in the Percy,-16022,Cardinals D/ST,D/ST,ARI,1116.0,0
1,Luck her right in the Percy,15102,Rishard Matthews,WR,TEN,108.5,0
1,Luck her right in the Percy,2576434,Melvin Gordon,RB,LAC,83.5,0
1,Luck her right in the Percy,17105,Antonio Andrews,RB,TEN,89.5,0
1,Luck her right in the Percy,14269,Dontrelle Inman,WR,LAC,77.5,0
1,Luck her right in the Percy,12460,Graham Gano,K,CAR,160.0,0
1,Luck her right in the Percy,13395,Reshad Jones,S,MIA,161.0,0
1,Luck her right in the Percy,2977609,Devin Funchess,WR,CAR,86.5,0
1,Luck her right in the Percy,16795,Austin Seferian-Jenkins,TE,TB,65.5,0
1,Luck her right in the Percy,2576817,Karlos Williams,RB,BUF,114.5,0
2,FOR WHOM O'DELL TOLLS,8439,Aaron Rodgers,QB,GB,287.0,0
2,FOR WHOM O'DELL TOLLS,12514,LeSean McCoy,RB,BUF,153.0,0
2,FOR WHOM O'DELL TOLLS,16737,Mike Evans,WR,TB,173.0,0
2,FOR WHOM O'DELL TOLLS,11283,DeSean Jackson,WR,WSH,88.0,0
2,FOR WHOM O'DELL TOLLS,15847,Travis Kelce,TE,KC,145.0,0
2,FOR WHOM O'DELL TOLLS,12601,Mike Wallace,WR,BAL,76.5,0
2,FOR WHOM O'DELL TOLLS,10478,Paul Posluszny,LB,JAX,141.0,0
2,FOR WHOM O'DELL TOLLS,11788,Danny Woodhead,RB,LAC,193.5,0
2,FOR WHOM O'DELL TOLLS,10453,Ted Ginn Jr.,WR,CAR,158.0,0
2,FOR WHOM O'DELL TOLLS,16791,Donte Moncrief,WR,IND,137.0,0
2,FOR WHOM O'DELL TOLLS,14583,Kamar Aiken,WR,BAL,158.5,0
2,FOR WHOM O'DELL TOLLS,2515416,Jeremy Langford,RB,CHI,127.0,0
2,FOR WHOM O'DELL TOLLS,15860,Jordan Reed,TE,WSH,194.5,0
2,FOR WHOM O'DELL TOLLS,11439,Pierre Garcon,WR,WSH,145.0,0
2,FOR WHOM O'DELL TOLLS,9329,Nick Novak,K,HOU,88.0,0
2,FOR WHOM O'DELL TOLLS,-16009,Packers D/ST,D/ST,GB,1099.0,0
2,FOR WHOM O'DELL TOLLS,2577253,Javorius Allen,RB,BAL,111.5,0
3,Jim Ward's Allstars,10452,Adrian Peterson,RB,MIN,232.0,0
3,Jim Ward's Allstars,14924,T.Y. Hilton,WR,IND,170.5,0
3,Jim Ward's Allstars,16731,Brandin Cooks,WR,NO,206.0,0
3,Jim Ward's Allstars,13203,C.J. Spiller,RB,NO,56.0,0
3,Jim Ward's Allstars,4527,Jason Witten,TE,DAL,120.5,0
3,Jim Ward's Allstars,13271,Eric Decker,WR,NYJ,208.0,0
3,Jim Ward's Allstars,14876,Ryan Tannehill,QB,MIA,249.5,0
3,Jim Ward's Allstars,16944,Devonta Freeman,RB,ATL,268.5,0
3,Jim Ward's Allstars,-16017,Patriots D/ST,D/ST,NE,1207.0,0
3,Jim Ward's Allstars,2969962,Duke Johnson Jr.,RB,CLE,122.5,0
3,Jim Ward's Allstars,15880,Robert Woods,WR,BUF,91.5,0
3,Jim Ward's Allstars,12576,Brandon LaFell,WR,CIN,64.5,0
3,Jim Ward's Allstars,16724,Blake Bortles,QB,JAX,304.0,0
3,Jim Ward's Allstars,15862,Kawann Short,DT,CAR,87.0,0
3,Jim Ward's Allstars,15965,Dustin Hopkins,K,WSH,124.0,0
3,Jim Ward's Allstars,10572,Scott Chandler,TE,NE,56.5,0
3,Jim Ward's Allstars,15830,Jamie Collins,LB,NE,120.0,0
4,Team Cornelius,14912,Alshon Jeffery,WR,CHI,128.0,0
4,Team Cornelius,16800,Davante Adams,WR,GB,77.0,0
4,Team Cornelius,16886,Martavis Bryant,WR,PIT,140.0,0
4,Team Cornelius,10636,Mason Crosby,K,GB,123.0,0
4,Team Cornelius,14012,Andy Dalton,QB,CIN,236.0,0
4,Team Cornelius,9705,Brandon Marshall,WR,NYJ,282.5,0
4,Team Cornelius,11364,Gary Barnidge,TE,CLE,193.5,0
4,Team Cornelius,13262,NaVorro Bowman,LB,SF,161.0,0
4,Team Cornelius,15994,Theo Riddick,RB,DET,133.0,0
4,Team Cornelius,2508176,David Johnson,RB,ARI,184.0,0
4,Team Cornelius,15873,Markus Wheaton,WR,PIT,123.0,0
4,Team Cornelius,-16021,Eagles D/ST,D/ST,PHI,1251.0,0
4,Team Cornelius,9597,Jay Cutler,QB,CHI,218.0,0
4,Team Cornelius,14880,Kirk Cousins,QB,WSH,283.0,0
4,Team Cornelius,15951,Denard Robinson,RB,JAX,53.5,0
4,Team Cornelius,-16023,Steelers D/ST,D/ST,PIT,1236.0,0
4,Team Cornelius,13284,Sean Lee,LB,DAL,135.0,0
5,GrandWizard TravisCoons,12579,Jeremy Maclin,WR,KC,194.5,0
5,GrandWizard TravisCoons,10475,Greg Olsen,TE,CAR,185.5,0
5,GrandWizard TravisCoons,9704,Stephen Gostkowski,K,NE,168.0,0
5,GrandWizard TravisCoons,5528,Larry Fitzgerald,WR,ARI,223.5,0
5,GrandWizard TravisCoons,4459,Carson Palmer,QB,ARI,302.0,0
5,GrandWizard TravisCoons,17258,Willie Snead,WR,NO,145.5,0
5,GrandWizard TravisCoons,10611,Corey Graham,CB,BUF,143.0,0
5,GrandWizard TravisCoons,11238,Darren McFadden,RB,DAL,169.0,0
5,GrandWizard TravisCoons,2976212,Stefon Diggs,WR,MIN,118.0,0
5,GrandWizard TravisCoons,2969939,Jameis Winston,QB,TB,263.0,0
5,GrandWizard TravisCoons,-16004,Bengals D/ST,D/ST,CIN,1179.0,0
5,GrandWizard TravisCoons,2971433,Dorial Green-Beckham,WR,TEN,94.0,0
5,GrandWizard TravisCoons,11383,Tim Hightower,RB,NO,79.0,0
5,GrandWizard TravisCoons,-16008,Lions D/ST,D/ST,DET,1131.0,0
5,GrandWizard TravisCoons,15092,Bryce Brown,RB,SEA,12.0,0
5,GrandWizard TravisCoons,2577327,Tyler Lockett,WR,SEA,132.5,0
5,GrandWizard TravisCoons,11318,Harry Douglas,WR,TEN,62.0,0
6,Demaryius Is My Brother ,13216,Demaryius Thomas,WR,DEN,210.5,0
6,Demaryius Is My Brother ,16803,Jeremy Hill,RB,CIN,152.5,0
6,Demaryius Is My Brother ,13295,Emmanuel Sanders,WR,DEN,182.0,0
6,Demaryius Is My Brother ,11247,Jonathan Stewart,RB,CAR,148.0,0
6,Demaryius Is My Brother ,5526,Eli Manning,QB,NYG,278.0,0
6,Demaryius Is My Brother ,8442,Roddy White,WR,ATL,73.5,0
6,Demaryius Is My Brother ,14911,Rueben Randle,WR,PHI,149.5,0
6,Demaryius Is My Brother ,15878,Terrance Williams,WR,DAL,125.0,0
6,Demaryius Is My Brother ,4680,Josh Brown,K,NYG,147.0,0
6,Demaryius Is My Brother ,17284,Charcandrick West,RB,KC,115.0,0
6,Demaryius Is My Brother ,9613,DeAngelo Williams,RB,PIT,201.0,0
6,Demaryius Is My Brother ,12483,Matthew Stafford,QB,DET,281.5,0
6,Demaryius Is My Brother ,14900,Coby Fleener,TE,NO,94.0,0
6,Demaryius Is My Brother ,14881,Russell Wilson,QB,SEA,327.0,0
6,Demaryius Is My Brother ,16020,Spencer Ware,RB,KC,78.0,0
6,Demaryius Is My Brother ,10459,Lawrence Timmons,LB,PIT,133.0,0
6,Demaryius Is My Brother ,-16027,Buccaneers D/ST,D/ST,TB,1283.0,0
8,Beats by Ray,13229,Rob Gronkowski,TE,NE,213.0,0
8,Beats by Ray,14874,Andrew Luck,QB,IND,129.0,0
8,Beats by Ray,2976499,Amari Cooper,WR,LV,170.0,0
8,Beats by Ray,2976516,T.J. Yeldon,RB,JAX,130.0,0
8,Beats by Ray,15893,Andre Ellington,RB,ARI,59.5,0
8,Beats by Ray,13217,Golden Tate,WR,DET,156.0,0
8,Beats by Ray,14938,Luke Kuechly,LB,CAR,140.0,0
8,Beats by Ray,15683,Justin Tucker,K,BAL,140.0,0
8,Beats by Ray,17133,Isaiah Crowell,RB,CLE,117.5,0
8,Beats by Ray,-16007,Broncos D/ST,D/ST,DEN,1222.0,0
8,Beats by Ray,2977644,Todd Gurley,RB,LAR,186.5,0
8,Beats by Ray,4461,Andre Johnson,WR,IND,90.5,0
8,Beats by Ray,8544,Darren Sproles,RB,PHI,123.5,0
8,Beats by Ray,2512523,Will Tye,TE,NYG,73.0,0
8,Beats by Ray,14129,Bilal Powell,RB,NYJ,103.5,0
8,Beats by Ray,16814,Zach Mettenberger,QB,TEN,38.0,0
8,Beats by Ray,3043097,Cameron Artis-Payne,RB,CAR,27.5,0
9,Watt Watt in the butt,13215,Dez Bryant,WR,DAL,69.5,0
9,Watt Watt in the butt,10447,Calvin Johnson,WR,DET,209.0,0
9,Watt Watt in the butt,13213,LeGarrette Blount,RB,NE,113.0,0
9,Watt Watt in the butt,13979,J.J. Watt,DE,HOU,119.0,0
9,Watt Watt in the butt,12503,Rashad Jennings,RB,NYG,139.5,0
9,Watt Watt in the butt,5529,Philip Rivers,QB,LAC,279.0,0
9,Watt Watt in the butt,11458,Stevie Johnson,WR,LAC,86.5,0
9,Watt Watt in the butt,9307,Nate Washington,WR,HOU,108.5,0
9,Watt Watt in the butt,15062,Travis Benjamin,WR,LAC,160.0,0
9,Watt Watt in the butt,15072,Marvin Jones,WR,DET,137.5,0
9,Watt Watt in the butt,5557,Benjamin Watson,TE,BAL,147.0,0
9,Watt Watt in the butt,13214,James Starks,RB,GB,132.5,0
9,Watt Watt in the butt,11923,Steven Hauschka,K,SEA,145.0,0
9,Watt Watt in the butt,16913,James White,RB,NE,93.0,0
9,Watt Watt in the butt,11373,Jacob Tamme,TE,ATL,94.5,0
9,Watt Watt in the butt,-16033,Ravens D/ST,D/ST,BAL,1084.0,0
9,Watt Watt in the butt,12482,Mark Sanchez,QB,DEN,30.0,0
10,High Noon,16040,C.J. Anderson,RB,DEN,120.5,0
10,High Noon,11237,Matt Ryan,QB,ATL,225.0,0
10,High Noon,16763,Jordan Matthews,WR,PHI,182.5,0
10,High Noon,16799,Allen Robinson,WR,JAX,258.0,0
10,High Noon,13587,Chris Ivory,RB,JAX,175.0,0
10,High Noon,16804,John Brown,WR,ARI,169.5,0
10,High Noon,16339,Brandon McManus,K,DEN,136.0,0
10,High Noon,5362,Antonio Gates,TE,LAC,116.0,0
10,High Noon,-16020,Jets D/ST,D/ST,NYJ,1164.0,0
10,High Noon,14985,Lavonte David,LB,TB,173.0,0
10,High Noon,16786,Richard Rodgers,TE,GB,124.0,0
10,High Noon,8664,Ryan Fitzpatrick,QB,NYJ,273.0,0
10,High Noon,15786,Tavon Austin,WR,LAR,162.0,0
10,High Noon,2576336,Ameer Abdullah,RB,DET,94.5,0
10,High Noon,2576623,DeVante Parker,WR,MIA,78.0,0
10,High Noon,8416,Alex Smith,QB,KC,261.0,0
10,High Noon,8429,Thomas Davis,LB,CAR,134.0,0
11,Dez (Bryant) Nuts,15848,Eddie Lacy,RB,GB,120.0,0
11,Dez (Bryant) Nuts,13981,Mark Ingram,RB,NO,169.0,0
11,Dez (Bryant) Nuts,14053,Randall Cobb,WR,GB,160.5,0
11,Dez (Bryant) Nuts,12649,Julian Edelman,WR,NE,138.5,0
11,Dez (Bryant) Nuts,16725,Sammy Watkins,WR,BUF,182.0,0
11,Dez (Bryant) Nuts,13994,Cam Newton,QB,CAR,376.0,0
11,Dez (Bryant) Nuts,4512,Anquan Boldin,WR,SF,131.5,0
11,Dez (Bryant) Nuts,14001,Colin Kaepernick,QB,SF,103.0,0
11,Dez (Bryant) Nuts,13204,Ryan Mathews,RB,PHI,105.0,0
11,Dez (Bryant) Nuts,9620,D'Qwell Jackson,LB,IND,166.0,0
11,Dez (Bryant) Nuts,14895,Ronnie Hillman,RB,DEN,141.0,0
11,Dez (Bryant) Nuts,15835,Zach Ertz,TE,PHI,131.5,0
11,Dez (Bryant) Nuts,15788,Tyler Eifert,TE,CIN,163.0,0
11,Dez (Bryant) Nuts,11674,Danny Amendola,WR,NE,106.5,0
11,Dez (Bryant) Nuts,-16002,Bills D/ST,D/ST,BUF,1087.0,0
11,Dez (Bryant) Nuts,2148,Sebastian Janikowski,K,LV,109.0,0
11,Dez (Bryant) Nuts,16891,Telvin Smith,LB,JAX,145.0,0
12,Rule #76,14005,DeMarco Murray,RB,TEN,152.0,0
12,Rule #76,16733,Odell Beckham Jr.,WR,NYG,265.0,0
12,Rule #76,15009,Alfred Morris,RB,DAL,85.0,0
12,Rule #76,2580,Drew Brees,QB,NO,299.0,0
