week,is_regular,team_id,team_name,points,opp_team_id,opp_team_name,is_bye,outcome
1,True,1,Garretteed Satisfaction ,98.22,9,Men of Will,False,L
1,True,2,Pour One Out For Mahomies!!,84.34,3,Jim Ward's Ole Dick Necks,False,L
1,True,3,Jim Ward's Ole Dick Necks,121.7,2,Pour One Out For Mahomies!!,False,W
1,True,4,King Me,103.96,12,Rule  #76,False,W
1,True,5,You Can Chuck the Tubb,90.46,13,Christopher's Kryptonite ,False,W
1,True,6,Thom-ASS,127.76,10,Amon-Ra Dog,False,W
1,True,8,SCLSU Mud Dogs,114.78,11,Bijan mustard,False,W
1,True,9,Men of Will,110.24,1,Garretteed Satisfaction ,False,W
1,True,10,Amon-Ra Dog,124.82,6,Thom-ASS,False,L
1,True,11,Bijan mustard,92.56,8,SCLSU Mud Dogs,False,L
1,True,12,Rule  #76,90.54,4,King Me,False,L
1,True,13,Christopher's Kryptonite ,76.24,5,You Can Chuck the Tubb,False,L
2,True,1,Garretteed Satisfaction ,115.9,13,Christopher's Kryptonite ,False,L
2,True,2,Pour One Out For Mahomies!!,106.5,8,SCLSU Mud Dogs,False,L
2,True,3,Jim Ward's Ole Dick Necks,86.92,4,King Me,False,L
2,True,4,King Me,136.7,3,Jim Ward's Ole Dick Necks,False,W
2,True,5,You Can Chuck the Tubb,103.16,10,Amon-Ra Dog,False,L
2,True,6,Thom-ASS,135.58,9,Men of Will,False,W
2,True,8,SCLSU Mud Dogs,113.38,2,Pour One Out For Mahomies!!,False,W
2,True,9,Men of Will,102.26,6,Thom-ASS,False,L
2,True,10,Amon-Ra Dog,118.64,5,You Can Chuck the Tubb,False,W
2,True,11,Bijan mustard,109.56,12,Rule  #76,False,W
2,True,12,Rule  #76,101.24,11,Bijan mustard,False,L
2,True,13,Christopher's Kryptonite ,133.94,1,Garretteed Satisfaction ,False,W
3,True,1,Garretteed Satisfaction ,110.36,5,You Can Chuck the Tubb,False,L
3,True,2,Pour One Out For Mahomies!!,96.58,4,King Me,False,L
3,True,3,Jim Ward's Ole Dick Necks,113.28,11,Bijan mustard,False,W
3,True,4,King Me,193.56,2,Pour One Out For Mahomies!!,False,W
3,True,5,You Can Chuck the Tubb,114.68,1,Garretteed Satisfaction ,False,W
3,True,6,Thom-ASS,145.18,13,Christopher's Kryptonite ,False,W
3,True,8,SCLSU Mud Dogs,113.54,12,Rule  #76,False,L
3,True,9,Men of Will,129.22,10,Amon-Ra Dog,False,W
3,True,10,Amon-Ra Dog,109.6,9,Men of Will,False,L
3,True,11,Bijan mustard,81.36,3,Jim Ward's Ole Dick Necks,False,L
