week,is_playoff,team_id,team_name,player_id,player_name,position,slot,started,points,projected_points,on_bye
1,False,6,Thom-ASS,15847,Travis Kelce,TE,TE,True,0.0,0.0,False
1,False,6,Thom-ASS,2976212,Stefon Diggs,WR,WR,True,21.2,0.0,False
1,False,6,Thom-ASS,3916387,Lamar Jackson,QB,QB,True,6.56,0.0,False
1,False,6,Thom-ASS,4360238,Dameon Pierce,RB,RB,True,5.7,0.0,False
1,False,6,Thom-ASS,3045147,James Conner,RB,RB,True,9.5,0.0,False
1,False,6,Thom-ASS,16737,Mike Evans,WR,WR,True,15.6,0.0,False
1,False,6,Thom-ASS,4241372,Marquise Brown,WR,RB/WR/TE,True,7.2,0.0,False
1,False,6,Thom-ASS,4360294,Antonio Gibson,RB,BE,False,0.4,0.0,False
1,False,6,Thom-ASS,4567156,Treylon Burks,WR,BE,False,3.7,0.0,False
1,False,6,Thom-ASS,4429615,Zay Flowers,WR,BE,False,14.2,0.0,False
1,False,6,Thom-ASS,3917232,Tyler Bass,K,K,True,13.0,7.99,False
1,False,6,Thom-ASS,-16006,Cowboys D/ST,D/ST,D/ST,True,35.0,0.0,False
1,False,6,Thom-ASS,4429025,Quentin Johnston,WR,BE,False,1.9,0.0,False
1,False,6,Thom-ASS,3128390,Allen Lazard,WR,BE,False,5.6,0.0,False
1,False,6,Thom-ASS,3125116,D'Onta Foreman,RB,BE,False,3.4,0.0,False
1,False,6,Thom-ASS,3918639,Gerald Everett,TE,BE,False,3.3,0.0,False
1,False,6,Thom-ASS,3121544,T.J. Edwards,LB,DP,True,14.0,0.0,False
1,False,10,Amon-Ra Dog,3117251,Christian McCaffrey,RB,RB,True,24.4,0.0,False
1,False,10,Amon-Ra Dog,4374302,Amon-Ra St. Brown,WR,WR,True,16.1,0.0,False
1,False,10,Amon-Ra Dog,4241478,DeVonta Smith,WR,WR,True,14.2,0.0,False
1,False,10,Amon-Ra Dog,4241463,Jerry Jeudy,WR,BE,False,0.0,0.0,False
1,False,10,Amon-Ra Dog,4697815,Rachaad White,RB,RB,True,5.9,0.0,False
1,False,10,Amon-Ra Dog,4035886,Khalil Herbert,RB,RB/WR/TE,True,9.9,0.0,False
1,False,10,Amon-Ra Dog,4360248,Kyle Pitts,TE,TE,True,5.4,0.0,False
1,False,10,Amon-Ra Dog,4426354,George Pickens,WR,BE,False,6.1,0.0,False
1,False,10,Amon-Ra Dog,8439,Aaron Rodgers,QB,BE,False,0.0,0.0,False
1,False,10,Amon-Ra Dog,4429084,Anthony Richardson,QB,QB,True,20.92,0.0,False
1,False,10,Amon-Ra Dog,-16021,Eagles D/ST,D/ST,D/ST,True,11.0,0.0,False
1,False,10,Amon-Ra Dog,4035434,Devin White,LB,DP,True,12.0,0.0,False
1,False,10,Amon-Ra Dog,3051909,Daniel Carlson,K,K,True,5.0,8.17,False
1,False,10,Amon-Ra Dog,4426485,Jonathan Mingo,WR,BE,False,3.7,0.0,False
1,False,10,Amon-Ra Dog,3912550,Ronald Jones,RB,BE,False,0.0,0.0,False
1,False,10,Amon-Ra Dog,3051926,Gus Edwards,RB,BE,False,5.2,0.0,False
1,False,10,Amon-Ra Dog,4686472,Marvin Mims Jr.,WR,BE,False,1.9,0.0,False
1,False,13,Christopher's Kryptonite ,3929630,Saquon Barkley,RB,RB,True,7.8,0.0,False
1,False,13,Christopher's Kryptonite ,4241389,CeeDee Lamb,WR,WR,True,9.7,0.0,False
1,False,13,Christopher's Kryptonite ,3116365,Mark Andrews,TE,BE,False,0.0,0.0,False
