overall_pick,round_num,round_pick,team_id,team_name,owner,player_id,player_name,position,bid_amount,keeper
1,1,1,12,Rule  #76,dcputman,4362628,Ja'Marr Chase,WR,0,False
2,1,2,1,Garretteed Satisfaction ,cjhubauer,3916148,Tony Pollard,RB,0,False
3,1,3,6,Thom-ASS,zwthomas89; zthoma7700709,15847,Travis Kelce,TE,0,False
4,1,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4262921,Justin Jefferson,WR,0,False
5,1,5,5,You Can Chuck the Tubb,payton9218600,3128720,Nick Chubb,,0,False
6,1,6,11,Bijan mustard,Gtgilbert88,4430807,Bijan Robinson,RB,0,False
7,1,7,13,Christopher's Kryptonite ,tcspivey8,3929630,Saquon Barkley,RB,0,False
8,1,8,9,Men of Will,wdsx5,3068267,Austin Ekeler,RB,0,False
9,1,9,4,King Me,Josh Swing,3043078,Derrick Henry,RB,0,False
10,1,10,10,Amon-Ra Dog,espnfan1709357526,3117251,Christian McCaffrey,RB,0,False
11,1,11,2,Pour One Out For Mahomies!!,Burns1981,4241457,Najee Harris,RB,0,False
12,1,12,8,SCLSU Mud Dogs,jbray5,2977187,Cooper Kupp,WR,0,False
13,2,1,8,SCLSU Mud Dogs,jbray5,3116406,Tyreek Hill,WR,0,False
14,2,2,2,Pour One Out For Mahomies!!,Burns1981,3139477,Patrick Mahomes,QB,0,False
15,2,3,10,Amon-Ra Dog,espnfan1709357526,4374302,Amon-Ra St. Brown,WR,0,False
16,2,4,4,King Me,Josh Swing,16800,Davante Adams,WR,0,False
17,2,5,9,Men of Will,wdsx5,4047365,Josh Jacobs,RB,0,False
18,2,6,13,Christopher's Kryptonite ,tcspivey8,4241389,CeeDee Lamb,WR,0,False
19,2,7,11,Bijan mustard,Gtgilbert88,4242335,Jonathan Taylor,RB,0,False
20,2,8,5,You Can Chuck the Tubb,payton9218600,3116385,Joe Mixon,RB,0,False
21,2,9,3,Jim Ward's Ole Dick Necks,Henry Munford,3042519,Aaron Jones,RB,0,False
22,2,10,6,Thom-ASS,zwthomas89; zthoma7700709,2976212,Stefon Diggs,WR,0,False
23,2,11,1,Garretteed Satisfaction ,cjhubauer,4569618,Garrett Wilson,WR,0,False
24,2,12,12,Rule  #76,dcputman,4047646,A.J. Brown,WR,0,False
25,3,1,12,Rule  #76,dcputman,4429795,Jahmyr Gibbs,RB,0,False
26,3,2,1,Garretteed Satisfaction ,cjhubauer,4361370,Chris Olave,WR,0,False
27,3,3,6,Thom-ASS,zwthomas89; zthoma7700709,3916387,Lamar Jackson,QB,0,False
28,3,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4040715,Jalen Hurts,QB,0,False
29,3,5,5,You Can Chuck the Tubb,payton9218600,3126486,Deebo Samuel,WR,0,False
30,3,6,11,Bijan mustard,Gtgilbert88,4372016,Jaylen Waddle,WR,0,False
31,3,7,13,Christopher's Kryptonite ,tcspivey8,3116365,Mark Andrews,TE,0,False
32,3,8,9,Men of Will,wdsx5,3918298,Josh Allen,QB,0,False
33,3,9,4,King Me,Josh Swing,4239996,Travis Etienne Jr.,RB,0,False
34,3,10,10,Amon-Ra Dog,espnfan1709357526,4241478,DeVonta Smith,WR,0,False
35,3,11,2,Pour One Out For Mahomies!!,Burns1981,4239993,Tee Higgins,WR,0,False
36,3,12,8,SCLSU Mud Dogs,jbray5,4569173,Rhamondre Stevenson,RB,0,False
37,4,1,8,SCLSU Mud Dogs,jbray5,3915511,Joe Burrow,,0,False
38,4,2,2,Pour One Out For Mahomies!!,Burns1981,4427366,Breece Hall,RB,0,False
39,4,3,10,Amon-Ra Dog,espnfan1709357526,4241463,Jerry Jeudy,WR,0,False
40,4,4,4,King Me,Josh Swing,4038941,Justin Herbert,,0,False
41,4,5,9,Men of Will,wdsx5,3925357,Calvin Ridley,WR,0,False
42,4,6,13,Christopher's Kryptonite ,tcspivey8,4362887,Justin Fields,QB,0,False
43,4,7,11,Bijan mustard,Gtgilbert88,4036133,T.J. Hockenson,TE,0,False
44,4,8,5,You Can Chuck the Tubb,payton9218600,2976499,Amari Cooper,WR,0,False
45,4,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4048244,Alexander Mattison,RB,0,False
46,4,10,6,Thom-ASS,zwthomas89; zthoma7700709,4360238,Dameon Pierce,RB,0,False
47,4,11,1,Garretteed Satisfaction ,cjhubauer,4047650,DK Metcalf,WR,0,False
48,4,12,12,Rule  #76,dcputman,4360310,Trevor Lawrence,QB,0,False
49,5,1,12,Rule  #76,dcputman,4567048,Kenneth Walker III,RB,0,False
50,5,2,1,Garretteed Satisfaction ,cjhubauer,2576925,Darren Waller,TE,0,False
51,5,3,6,Thom-ASS,zwthomas89; zthoma7700709,3045147,James Conner,RB,0,False
52,5,4,3,Jim Ward's Ole Dick Necks,Henry Munford,15795,DeAndre Hopkins,WR,0,False
53,5,5,5,You Can Chuck the Tubb,payton9218600,4035687,Michael Pittman Jr.,WR,0,False
54,5,6,11,Bijan mustard,Gtgilbert88,3122840,Deshaun Watson,,0,False
55,5,7,13,Christopher's Kryptonite ,tcspivey8,4045163,Miles Sanders,RB,0,False
56,5,8,9,Men of Will,wdsx5,4248528,Christian Watson,WR,0,False
57,5,9,4,King Me,Josh Swing,15818,Keenan Allen,WR,0,False
58,5,10,10,Amon-Ra Dog,espnfan1709357526,4697815,Rachaad White,RB,0,False
59,5,11,2,Pour One Out For Mahomies!!,Burns1981,3915416,DJ Moore,WR,0,False
60,5,12,8,SCLSU Mud Dogs,jbray5,4241985,J.K. Dobbins,,0,False
61,6,1,8,SCLSU Mud Dogs,jbray5,4240021,Cam Akers,,0,False
62,6,2,2,Pour One Out For Mahomies!!,Burns1981,3040151,George Kittle,TE,0,False
63,6,3,10,Amon-Ra Dog,espnfan1709357526,4035886,Khalil Herbert,,0,False
64,6,4,4,King Me,Josh Swing,3121023,Dallas Goedert,TE,0,False
65,6,5,9,Men of Will,wdsx5,3116165,Chris Godwin,WR,0,False
66,6,6,13,Christopher's Kryptonite ,tcspivey8,4426502,Drake London,WR,0,False
67,6,7,11,Bijan mustard,Gtgilbert88,3895856,Christian Kirk,WR,0,False
68,6,8,5,You Can Chuck the Tubb,payton9218600,3116593,Dalvin Cook,,0,False
69,6,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4361529,Isiah Pacheco,RB,0,False
70,6,10,6,Thom-ASS,zwthomas89; zthoma7700709,16737,Mike Evans,WR,0,False
71,6,11,1,Garretteed Satisfaction ,cjhubauer,4379399,James Cook,RB,0,False
72,6,12,12,Rule  #76,dcputman,3121422,Terry McLaurin,WR,0,False
73,7,1,12,Rule  #76,dcputman,4361579,Javonte Williams,RB,0,False
74,7,2,1,Garretteed Satisfaction ,cjhubauer,3054850,Alvin Kamara,RB,0,False
75,7,3,6,Thom-ASS,zwthomas89; zthoma7700709,4241372,Marquise Brown,WR,0,False
76,7,4,3,Jim Ward's Ole Dick Necks,Henry Munford,2980453,Jamaal Williams,,0,False
77,7,5,5,You Can Chuck the Tubb,payton9218600,14880,Kirk Cousins,,0,False
78,7,6,11,Bijan mustard,Gtgilbert88,4035538,David Montgomery,RB,0,False
79,7,7,13,Christopher's Kryptonite ,tcspivey8,4360438,Brandon Aiyuk,WR,0,False
80,7,8,9,Men of Will,wdsx5,4259545,D'Andre Swift,RB,0,False
81,7,9,4,King Me,Josh Swing,3045138,Mike Williams,WR,0,False
82,7,10,10,Amon-Ra Dog,espnfan1709357526,4360248,Kyle Pitts,TE,0,False
83,7,11,2,Pour One Out For Mahomies!!,Burns1981,2577327,Tyler Lockett,WR,0,False
84,7,12,8,SCLSU Mud Dogs,jbray5,4241474,Brian Robinson Jr.,RB,0,False
85,8,1,8,SCLSU Mud Dogs,jbray5,3932905,Diontae Johnson,WR,0,False
86,8,2,2,Pour One Out For Mahomies!!,Burns1981,4239934,AJ Dillon,RB,0,False
87,8,3,10,Amon-Ra Dog,espnfan1709357526,4426354,George Pickens,WR,0,False
88,8,4,4,King Me,Josh Swing,16731,Brandin Cooks,WR,0,False
89,8,5,9,Men of Will,wdsx5,3128429,Courtland Sutton,WR,0,False
90,8,6,13,Christopher's Kryptonite ,tcspivey8,4243537,Gabe Davis,WR,0,False
91,8,7,11,Bijan mustard,Gtgilbert88,4430878,Jaxon Smith-Njigba,WR,0,False
92,8,8,5,You Can Chuck the Tubb,payton9218600,16782,Jerick McKinnon,RB,0,False
93,8,9,3,Jim Ward's Ole Dick Necks,Henry Munford,3139925,Rashaad Penny,,0,False
94,8,10,6,Thom-ASS,zwthomas89; zthoma7700709,4360294,Antonio Gibson,,0,False
95,8,11,1,Garretteed Satisfaction ,cjhubauer,2577417,Dak Prescott,QB,0,False
96,8,12,12,Rule  #76,dcputman,3051876,Evan Engram,TE,0,False
97,9,1,12,Rule  #76,dcputman,4429205,Jordan Addison,WR,0,False
98,9,2,1,Garretteed Satisfaction ,cjhubauer,4430191,Skyy Moore,,0,False
99,9,3,6,Thom-ASS,zwthomas89; zthoma7700709,4567156,Treylon Burks,,0,False
100,9,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4361409,Jahan Dotson,WR,0,False
101,9,5,5,You Can Chuck the Tubb,payton9218600,3116164,Mike Gesicki,,0,False
102,9,6,11,Bijan mustard,Gtgilbert88,-16025,49ers D/ST,D/ST,0,False
103,9,7,13,Christopher's Kryptonite ,tcspivey8,3116389,Samaje Perine,RB,0,False
104,9,8,9,Men of Will,wdsx5,2976316,Michael Thomas,,0,False
105,9,9,4,King Me,Josh Swing,3115394,DJ Chark Jr.,WR,0,False
106,9,10,10,Amon-Ra Dog,espnfan1709357526,8439,Aaron Rodgers,,0,False
107,9,11,2,Pour One Out For Mahomies!!,Burns1981,3120348,JuJu Smith-Schuster,WR,0,False
108,9,12,8,SCLSU Mud Dogs,jbray5,3925347,Damien Harris,,0,False
109,10,1,8,SCLSU Mud Dogs,jbray5,4372414,Elijah Moore,,0,False
110,10,2,2,Pour One Out For Mahomies!!,Burns1981,-16020,Jets D/ST,D/ST,0,False
111,10,3,10,Amon-Ra Dog,espnfan1709357526,4429084,Anthony Richardson,,0,False
112,10,4,4,King Me,Josh Swing,3916433,Jakobi Meyers,WR,0,False
113,10,5,9,Men of Will,wdsx5,16460,Adam Thielen,WR,0,False
114,10,6,13,Christopher's Kryptonite ,tcspivey8,4429160,De'Von Achane,RB,0,False
115,10,7,11,Bijan mustard,Gtgilbert88,4040761,Devin Singletary,RB,0,False
116,10,8,5,You Can Chuck the Tubb,payton9218600,3138826,Fred Warner,LB,0,False
117,10,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4385690,Dalton Kincaid,TE,0,False
118,10,10,6,Thom-ASS,zwthomas89; zthoma7700709,4429615,Zay Flowers,WR,0,False
119,10,11,1,Garretteed Satisfaction ,cjhubauer,4426385,Zach Charbonnet,RB,0,False
120,10,12,12,Rule  #76,dcputman,4371733,Kenneth Gainwell,,0,False
121,11,1,12,Rule  #76,dcputman,3051392,Ezekiel Elliott,RB,0,False
122,11,2,1,Garretteed Satisfaction ,cjhubauer,4258173,Nico Collins,WR,0,False
123,11,3,6,Thom-ASS,zwthomas89; zthoma7700709,3917232,Tyler Bass,,0,False
124,11,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4258595,Cole Kmet,TE,0,False
125,11,5,5,You Can Chuck the Tubb,payton9218600,15683,Justin Tucker,K,0,False
126,11,6,11,Bijan mustard,Gtgilbert88,16733,Odell Beckham Jr.,WR,0,False
127,11,7,13,Christopher's Kryptonite ,tcspivey8,3050073,Foyesade Oluokun,LB,0,False
128,11,8,9,Men of Will,wdsx5,-16002,Bills D/ST,D/ST,0,False
129,11,9,4,King Me,Josh Swing,2576414,Raheem Mostert,RB,0,False
130,11,10,10,Amon-Ra Dog,espnfan1709357526,-16021,Eagles D/ST,D/ST,0,False
131,11,11,2,Pour One Out For Mahomies!!,Burns1981,3055899,Harrison Butker,K,0,False
132,11,12,8,SCLSU Mud Dogs,jbray5,4361411,Pat Freiermuth,TE,0,False
133,12,1,8,SCLSU Mud Dogs,jbray5,16720,C.J. Mosley,LB,0,False
134,12,2,2,Pour One Out For Mahomies!!,Burns1981,3915189,Roquan Smith,LB,0,False
135,12,3,10,Amon-Ra Dog,espnfan1709357526,4035434,Devin White,,0,False
136,12,4,4,King Me,Josh Swing,4362759,Nick Bolton,,0,False
137,12,5,9,Men of Will,wdsx5,3123076,David Njoku,TE,0,False
138,12,6,13,Christopher's Kryptonite ,tcspivey8,4240600,Kadarius Toney,,0,False
139,12,7,11,Bijan mustard,Gtgilbert88,3056362,Shaquille Leonard,,0,False
140,12,8,5,You Can Chuck the Tubb,payton9218600,-16017,Patriots D/ST,,0,False
141,12,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4688813,Josh Downs,WR,0,False
142,12,10,6,Thom-ASS,zwthomas89; zthoma7700709,-16006,Cowboys D/ST,D/ST,0,False
143,12,11,1,Garretteed Satisfaction ,cjhubauer,3117253,Bobby Okereke,LB,0,False
144,12,12,12,Rule  #76,dcputman,4360234,Evan McPherson,K,0,False
145,13,1,12,Rule  #76,dcputman,14979,Bobby Wagner,LB,0,False
146,13,2,1,Garretteed Satisfaction ,cjhubauer,4241555,Elijah Mitchell,,0,False
147,13,3,6,Thom-ASS,zwthomas89; zthoma7700709,4361423,Micah Parsons,,0,False
148,13,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4429013,Tank Bigsby,,0,False
149,13,5,5,You Can Chuck the Tubb,payton9218600,3917315,Kyler Murray,QB,0,False
150,13,6,11,Bijan mustard,Gtgilbert88,4050373,Quez Watkins,,0,False
151,13,7,13,Christopher's Kryptonite ,tcspivey8,4241479,Tua Tagovailoa,QB,0,False
152,13,8,9,Men of Will,wdsx5,3124005,Zaire Franklin,LB,0,False
153,13,9,4,King Me,Josh Swing,-16015,Dolphins D/ST,D/ST,0,False
154,13,10,10,Amon-Ra Dog,espnfan1709357526,3051909,Daniel Carlson,,0,False
155,13,11,2,Pour One Out For Mahomies!!,Burns1981,3122976,Jeff Wilson Jr.,RB,0,False
156,13,12,8,SCLSU Mud Dogs,jbray5,4360635,Chigoziem Okonkwo,TE,0,False
157,14,1,8,SCLSU Mud Dogs,jbray5,4373626,Tyler Allgeier,,0,False
158,14,2,2,Pour One Out For Mahomies!!,Burns1981,3117256,Dalton Schultz,TE,0,False
159,14,3,10,Amon-Ra Dog,espnfan1709357526,4426485,Jonathan Mingo,,0,False
160,14,4,4,King Me,Josh Swing,16486,Brett Maher,,0,False
161,14,5,9,Men of Will,wdsx5,4249087,Matt Gay,,0,False
162,14,6,13,Christopher's Kryptonite ,tcspivey8,3049899,Younghoe Koo,,0,False
163,14,7,11,Bijan mustard,Gtgilbert88,12460,Graham Gano,,0,False
164,14,8,5,You Can Chuck the Tubb,payton9218600,4035004,Mecole Hardman,,0,False
165,14,9,3,Jim Ward's Ole Dick Necks,Henry Munford,-16007,Broncos D/ST,D/ST,0,False
