team_id,team_name,player_id,player_name,position,pro_team,total_points,projected_total_points
1,You like  That?,14005,DeMarco Murray,RB,TEN,153.0,0
1,You like  That?,14221,Doug Baldwin,WR,SEA,188.8,0
1,You like  That?,13217,Golden Tate,WR,DET,180.5,0
1,You like  That?,11788,Danny Woodhead,RB,BAL,44.1,0
1,You like  That?,14880,Kirk Cousins,QB,MIN,278.62,0
1,You like  That?,14885,Doug Martin,RB,LV,71.5,0
1,You like  That?,3059915,Kareem Hunt,RB,KC,269.7,0
1,You like  That?,2573079,Carson Wentz,QB,PHI,282.74,0
1,You like  That?,14402,Chris Hogan,WR,NE,93.6,0
1,You like  That?,16787,Marqise Lee,WR,JAX,121.9,0
1,You like  That?,-16024,Chargers D/ST,D/ST,LAC,1291.0,0
1,You like  That?,2977819,Joe Schobert,LB,CLE,158.0,0
1,You like  That?,2979590,Jesse James,TE,PIT,76.7,0
1,You like  That?,3051902,Peyton Barber,RB,TB,83.7,0
1,You like  That?,2582139,Sam Ficken,K,LAR,10.0,0
1,You like  That?,14877,Nick Foles,QB,PHI,33.78,0
2,Rodger  That,16944,Devonta Freeman,RB,ATL,184.2,0
2,Rodger  That,15795,DeAndre Hopkins,WR,HOU,264.8,0
2,Rodger  That,13213,LeGarrette Blount,RB,DET,103.6,0
2,Rodger  That,2976592,Sterling Shepard,WR,NYG,117.0,0
2,Rodger  That,12601,Mike Wallace,WR,PHI,127.2,0
2,Rodger  That,3050478,Jake Elliott,K,PHI,135.0,0
2,Rodger  That,12483,Matthew Stafford,QB,DET,274.64,0
2,Rodger  That,12537,Jared Cook,TE,LV,107.8,0
2,Rodger  That,-16018,Saints D/ST,D/ST,NO,1124.0,0
2,Rodger  That,2980453,Jamaal Williams,RB,GB,133.3,0
2,Rodger  That,2512197,Rod Smith,RB,DAL,87.9,0
2,Rodger  That,11674,Danny Amendola,WR,MIA,110.4,0
2,Rodger  That,3122866,Devontae Booker,RB,DEN,78.4,0
2,Rodger  That,-16010,Titans D/ST,D/ST,TEN,1158.0,0
2,Rodger  That,16720,C.J. Mosley,LB,BAL,154.0,0
2,Rodger  That,15880,Robert Woods,WR,LAR,135.3,0
2,Rodger  That,16024,Kerwynn Williams,RB,ARI,64.9,0
3,Jim Ward's Allstars,2576434,Melvin Gordon,RB,LAC,259.1,0
3,Jim Ward's Allstars,11270,Jordy Nelson,WR,LV,112.7,0
3,Jim Ward's Allstars,12563,Michael Crabtree,WR,BAL,144.8,0
3,Jim Ward's Allstars,16790,Jarvis Landry,WR,CLE,210.0,0
3,Jim Ward's Allstars,-16034,Texans D/ST,D/ST,HOU,1141.0,0
3,Jim Ward's Allstars,3043275,Austin Hooper,TE,ATL,97.1,0
3,Jim Ward's Allstars,3052876,Will Fuller V,WR,HOU,100.2,0
3,Jim Ward's Allstars,17331,Orleans Darkwa,RB,NYG,129.2,0
3,Jim Ward's Allstars,2976545,Deion Jones,LB,ATL,146.0,0
3,Jim Ward's Allstars,17359,Damien Williams,RB,KC,51.6,0
3,Jim Ward's Allstars,16760,Jimmy Garoppolo,QB,SF,88.4,0
3,Jim Ward's Allstars,16724,Blake Bortles,QB,JAX,250.68,0
3,Jim Ward's Allstars,3046779,Jared Goff,QB,LAR,256.26,0
3,Jim Ward's Allstars,3045260,Corey Clement,RB,PHI,93.4,0
3,Jim Ward's Allstars,12460,Graham Gano,K,CAR,130.0,0
3,Jim Ward's Allstars,16886,Martavis Bryant,WR,PIT,108.5,0
3,Jim Ward's Allstars,-16029,Panthers D/ST,D/ST,CAR,1115.0,0
4,Bell yeah,16731,Brandin Cooks,WR,LAR,189.7,0
4,Bell yeah,3115364,Leonard Fournette,RB,JAX,213.2,0
4,Bell yeah,11237,Matt Ryan,QB,ATL,228.1,0
4,Bell yeah,8479,Frank Gore,RB,MIA,159.1,0
4,Bell yeah,13994,Cam Newton,QB,CAR,301.48,0
4,Bell yeah,-16022,Cardinals D/ST,D/ST,ARI,1123.0,0
4,Bell yeah,14198,Dion Lewis,RB,TEN,187.0,0
4,Bell yeah,3054850,Alvin Kamara,RB,NO,279.9,0
4,Bell yeah,15428,Jermaine Kearse,WR,NYJ,144.5,0
4,Bell yeah,2977609,Devin Funchess,WR,CAR,164.5,0
4,Bell yeah,13587,Chris Ivory,RB,BUF,74.2,0
4,Bell yeah,15058,Blair Walsh,K,SEA,100.0,0
4,Bell yeah,16767,Christian Kirksey,LB,CLE,151.0,0
4,Bell yeah,-16003,Bears D/ST,D/ST,CHI,1173.0,0
4,Bell yeah,16795,Austin Seferian-Jenkins,TE,JAX,76.7,0
4,Bell yeah,10475,Greg Olsen,TE,CAR,33.6,0
4,Bell yeah,14816,Kai Forbath,K,MIN,143.0,0
5,Send Points,2330,Tom Brady,QB,NE,295.88,0
5,Send Points,2976499,Amari Cooper,WR,LV,137.4,0
5,Send Points,16777,Carlos Hyde,RB,CLE,207.3,0
5,Send Points,11283,DeSean Jackson,WR,TB,113.6,0
5,Send Points,16460,Adam Thielen,WR,MIN,195.2,0
5,Send Points,15826,Giovani Bernard,RB,CIN,131.2,0
5,Send Points,14922,Mohamed Sanu,WR,ATL,141.84,0
5,Send Points,9592,Vernon Davis,TE,WSH,101.3,0
5,Send Points,10452,Adrian Peterson,RB,ARI,74.4,0
5,Send Points,15168,Case Keenum,QB,DEN,240.88,0
5,Send Points,13272,Ed Dickson,TE,SEA,68.7,0
5,Send Points,2972091,Jalen Richard,RB,LV,73.6,0
5,Send Points,-16033,Ravens D/ST,D/ST,BAL,1184.0,0
5,Send Points,2971728,Nick Rose,K,LAC,56.0,0
