team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
8,Free Pimp  Zeke ,FPZ,jbray5,10,3,0,1514.7599999999998,1422.02,1,1,1
12,Rule #76,76,dcputman,10,3,0,1498.66,1338.8,3,2,1
2,Rodger  That,ODE,jmodell10,6,7,0,1313.1999999999998,1427.04,7,3,1
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,7,6,0,1327.56,1255.3,5,4,1
4,Bell yeah,B,bcornelius2,8,5,0,1418.78,1389.6,4,5,0
6,"Dude, Where's  My Carr ",THOM,zwthomas89,6,7,0,1386.0800000000002,1426.0,8,6,0
9,Tonie's Tigers,CT,crtaylor225,8,5,0,1460.0599999999997,1308.56,2,7,0
1,You like  That?,BSHU,cjhubauer,6,7,0,1516.06,1426.82,6,8,0
10,High Noon,MURP,jtmurphree,5,8,0,1473.22,1505.88,10,9,0
13,Dumpster Fire,FML,tcspivey8,5,8,0,1408.16,1512.04,9,10,1
3,Jim Ward's Allstars,MUNF,Henry Munford,4,9,0,1257.0199999999998,1351.66,11,11,1
5,Send Points,Help,payton9218600,3,10,0,1242.36,1452.2,12,12,0
