week,is_regular,team_id,team_name,points,opp_team_id,opp_team_name,is_bye,outcome
1,True,1,T's Diddy ,111.0,9,TBD TBD,False,L
1,True,2,Zeke -A Virus,139.4,3,Jim Ward's Ole Dick Necks,False,W
1,True,3,Jim Ward's Ole Dick Necks,81.0,2,Zeke -A Virus,False,L
1,True,4,BUT kicKERs,92.96,12,Rule  #76,False,L
1,True,5,COD Lobby Kyler,81.52,13,Christopher's Kryptonite ,False,L
1,True,6,SWIFT Kick In The Balls ,119.92,10,Maitland Tiburon,False,L
1,True,8,SCLSU Mud Dogs,61.38,11,Dez (Bryant) Nuts,False,L
1,True,9,TBD TBD,119.66,1,T's Diddy ,False,W
1,True,10,Maitland Tiburon,140.12,6,SWIFT Kick In The Balls ,False,W
1,True,11,Dez (Bryant) Nuts,128.8,8,SCLSU Mud Dogs,False,W
1,True,12,Rule  #76,106.72,4,BUT kicKERs,False,W
1,True,13,Christopher's Kryptonite ,126.58,5,COD Lobby Kyler,False,W
2,True,1,T's Diddy ,125.36,13,Christopher's Kryptonite ,False,L
2,True,2,Zeke -A Virus,128.2,8,SCLSU Mud Dogs,False,W
2,True,3,Jim Ward's Ole Dick Necks,98.68,4,BUT kicKERs,False,L
2,True,4,BUT kicKERs,147.06,3,Jim Ward's Ole Dick Necks,False,W
2,True,5,COD Lobby Kyler,74.08,10,Maitland Tiburon,False,L
2,True,6,SWIFT Kick In The Balls ,129.46,9,TBD TBD,False,W
2,True,8,SCLSU Mud Dogs,98.3,2,Zeke -A Virus,False,L
2,True,9,TBD TBD,108.46,6,SWIFT Kick In The Balls ,False,L
2,True,10,Maitland Tiburon,141.62,5,COD Lobby Kyler,False,W
2,True,11,Dez (Bryant) Nuts,112.98,12,Rule  #76,False,L
2,True,12,Rule  #76,132.12,11,Dez (Bryant) Nuts,False,W
2,True,13,Christopher's Kryptonite ,158.78,1,T's Diddy ,False,W
3,True,1,T's Diddy ,100.36,5,COD Lobby Kyler,False,L
3,True,2,Zeke -A Virus,107.38,4,BUT kicKERs,False,W
3,True,3,Jim Ward's Ole Dick Necks,95.2,11,Dez (Bryant) Nuts,False,L
3,True,4,BUT kicKERs,74.34,2,Zeke -A Virus,False,L
3,True,5,COD Lobby Kyler,106.96,1,T's Diddy ,False,W
3,True,6,SWIFT Kick In The Balls ,114.2,13,Christopher's Kryptonite ,False,W
3,True,8,SCLSU Mud Dogs,153.62,12,Rule  #76,False,W
3,True,9,TBD TBD,96.68,10,Maitland Tiburon,False,W
3,True,10,Maitland Tiburon,94.5,9,TBD TBD,False,L
3,True,11,Dez (Bryant) Nuts,99.76,3,Jim Ward's Ole Dick Necks,False,W
3,True,12,Rule  #76,112.02,8,SCLSU Mud Dogs,False,L
3,True,13,Christopher's Kryptonite ,93.8,6,SWIFT Kick In The Balls ,False,L
4,True,1,T's Diddy ,137.38,10,Maitland Tiburon,False,W
4,True,2,Zeke -A Virus,82.66,12,Rule  #76,False,L
4,True,3,Jim Ward's Ole Dick Necks,129.82,8,SCLSU Mud Dogs,False,L
4,True,4,BUT kicKERs,99.9,11,Dez (Bryant) Nuts,False,L
4,True,5,COD Lobby Kyler,129.08,6,SWIFT Kick In The Balls ,False,W
4,True,6,SWIFT Kick In The Balls ,123.08,5,COD Lobby Kyler,False,L
4,True,8,SCLSU Mud Dogs,148.3,3,Jim Ward's Ole Dick Necks,False,W
4,True,9,TBD TBD,101.9,13,Christopher's Kryptonite ,False,L
4,True,10,Maitland Tiburon,136.16,1,T's Diddy ,False,L
4,True,11,Dez (Bryant) Nuts,139.52,4,BUT kicKERs,False,W
4,True,12,Rule  #76,106.76,2,Zeke -A Virus,False,W
4,True,13,Christopher's Kryptonite ,127.32,9,TBD TBD,False,W
5,True,1,T's Diddy ,115.36,6,SWIFT Kick In The Balls ,False,W
5,True,2,Zeke -A Virus,132.08,11,Dez (Bryant) Nuts,False,W
5,True,3,Jim Ward's Ole Dick Necks,132.74,12,Rule  #76,False,W
5,True,4,BUT kicKERs,95.6,8,SCLSU Mud Dogs,False,L
5,True,5,COD Lobby Kyler,114.8,9,TBD TBD,False,L
5,True,6,SWIFT Kick In The Balls ,89.68,1,T's Diddy ,False,L
5,True,8,SCLSU Mud Dogs,153.14,4,BUT kicKERs,False,W
5,True,9,TBD TBD,131.52,5,COD Lobby Kyler,False,W
5,True,10,Maitland Tiburon,110.48,13,Christopher's Kryptonite ,False,L
5,True,11,Dez (Bryant) Nuts,84.06,2,Zeke -A Virus,False,L
5,True,12,Rule  #76,81.06,3,Jim Ward's Ole Dick Necks,False,L
5,True,13,Christopher's Kryptonite ,124.16,10,Maitland Tiburon,False,W
6,True,1,T's Diddy ,148.12,12,Rule  #76,False,W
6,True,2,Zeke -A Virus,109.22,10,Maitland Tiburon,False,W
6,True,3,Jim Ward's Ole Dick Necks,104.0,6,SWIFT Kick In The Balls ,False,W
6,True,4,BUT kicKERs,118.8,9,TBD TBD,False,W
6,True,5,COD Lobby Kyler,66.08,8,SCLSU Mud Dogs,False,L
6,True,6,SWIFT Kick In The Balls ,88.4,3,Jim Ward's Ole Dick Necks,False,L
6,True,8,SCLSU Mud Dogs,96.02,5,COD Lobby Kyler,False,W
6,True,9,TBD TBD,74.42,4,BUT kicKERs,False,L
6,True,10,Maitland Tiburon,97.54,2,Zeke -A Virus,False,L
6,True,11,Dez (Bryant) Nuts,94.72,13,Christopher's Kryptonite ,False,L
6,True,12,Rule  #76,128.3,1,T's Diddy ,False,L
6,True,13,Christopher's Kryptonite ,117.16,11,Dez (Bryant) Nuts,False,W
7,True,1,T's Diddy ,141.8,4,BUT kicKERs,False,W
7,True,2,Zeke -A Virus,104.72,6,SWIFT Kick In The Balls ,False,L
7,True,3,Jim Ward's Ole Dick Necks,121.66,5,COD Lobby Kyler,False,L
7,True,4,BUT kicKERs,71.74,1,T's Diddy ,False,L
7,True,5,COD Lobby Kyler,122.76,3,Jim Ward's Ole Dick Necks,False,W
7,True,6,SWIFT Kick In The Balls ,116.54,2,Zeke -A Virus,False,W
7,True,8,SCLSU Mud Dogs,102.0,9,TBD TBD,False,W
7,True,9,TBD TBD,93.42,8,SCLSU Mud Dogs,False,L
7,True,10,Maitland Tiburon,88.94,11,Dez (Bryant) Nuts,False,L
7,True,11,Dez (Bryant) Nuts,90.52,10,Maitland Tiburon,False,W
7,True,12,Rule  #76,87.4,13,Christopher's Kryptonite ,False,L
7,True,13,Christopher's Kryptonite ,114.18,12,Rule  #76,False,W
8,True,1,T's Diddy ,116.94,8,SCLSU Mud Dogs,False,L
8,True,2,Zeke -A Virus,75.02,5,COD Lobby Kyler,False,L
8,True,3,Jim Ward's Ole Dick Necks,125.28,9,TBD TBD,False,L
8,True,4,BUT kicKERs,144.54,13,Christopher's Kryptonite ,False,W
8,True,5,COD Lobby Kyler,113.64,2,Zeke -A Virus,False,W
8,True,6,SWIFT Kick In The Balls ,119.38,11,Dez (Bryant) Nuts,False,L
8,True,8,SCLSU Mud Dogs,153.2,1,T's Diddy ,False,W
8,True,9,TBD TBD,128.7,3,Jim Ward's Ole Dick Necks,False,W
8,True,10,Maitland Tiburon,128.98,12,Rule  #76,False,L
8,True,11,Dez (Bryant) Nuts,142.74,6,SWIFT Kick In The Balls ,False,W
8,True,12,Rule  #76,145.98,10,Maitland Tiburon,False,W
8,True,13,Christopher's Kryptonite ,129.02,4,BUT kicKERs,False,L
