team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
8,SCLSU Mud Dogs,SMD,jbray5,9,5,0,1774.02,1692.02,2,1,1
2,Zeke -A Virus,ZAV,Burns1981,8,6,0,1487.5200000000002,1441.68,4,2,1
10,Maitland Tiburon,TIB,espnfan1709357526,7,7,0,1714.8200000000002,1473.52,6,3,0
4,BUT kicKERs,BUT,Josh Swing,7,7,0,1487.7199999999998,1561.68,8,4,1
9,TBD TBD,TBD,wdsx5,7,7,0,1470.94,1538.82,5,5,0
13,Christopher's Kryptonite ,3X,tcspivey8,12,2,0,1788.0,1477.04,1,6,0
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,7,7,0,1452.42,1543.72,7,7,1
5,COD Lobby Kyler,W3st,payton9218600,8,6,0,1581.34,1458.3,3,8,0
3,Jim Ward's Ole Dick Necks,MUNF,Henry Munford,3,11,0,1488.9599999999998,1683.8,12,9,1
6,SWIFT Kick In The Balls ,THOM,zwthomas89; zthoma7700709,4,10,0,1510.2199999999998,1636.26,11,10,0
1,T's Diddy ,BSHU,cjhubauer,6,8,0,1680.3400000000001,1678.86,9,11,0
12,Rule  #76,76,dcputman,6,8,0,1420.0200000000002,1670.62,10,12,1
