team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
6,LUCK isonmyside,THOM,zwthomas89,12,1,0,1534.0,1077.0,1,1,0
9,Schaub on my Knob,KNOB,crtaylor225,6,6,1,1224.0,1238.0,6,2,1
1,Toomer's Coroners,BSHU,cjhubauer,6,6,1,1294.0,1237.5,7,3,0
5,And god said I  hate you Tebow,TBOW,pwes58,8,5,0,1167.0,1133.0,5,4,0
13,Shake Them Dreads,SPIV,tcspivey8,5,7,1,1176.5,1303.0,8,5,1
12,Rule #76,76,dcputman,8,5,0,1285.0,1228.0,3,6,1
2,Team O'Dell,O'DE,jmodell10,8,5,0,1191.0,1192.0,4,7,0
10,High Noon,MURP,jtmurphree,8,4,1,1408.0,1234.5,2,8,1
11,Peyton  Man-thing,GILB,Gtgilbert88,4,9,0,1232.5,1346.5,11,9,1
8,Slumber Lumber,RAY,jbray5,2,11,0,901.0,1182.5,12,10,1
3,Team Munford,MUNF,Henry Munford,4,9,0,1078.0,1253.5,10,11,0
4,Medulla Amendola,B,obigxbuddhao,5,8,0,1166.5,1232.0,9,12,0
