team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
7,Team Merrill,MERR,HHSBaller020,9,4,0,2207.0,1907.0,3,1,0
1,Show ME Your TD's,HUBA,cjhubauer,7,6,0,2182.0,1980.0,5,2,0
11,Peyton  Man-thing,GILB,Gtgilbert88,7,6,0,2082.0,2047.0,7,3,1
2,Team O'Dell,O'DE,jmodell10,7,6,0,2014.0,1755.0,8,4,0
3,Team Munford,MUNF,Henry Munford,8,5,0,1970.0,1969.0,4,5,0
9,Danny Woodheads,TAYL,crtaylor225,10,3,0,2250.0,1859.0,1,6,1
6,Team Thomas,THOM,zwthomas89,10,3,0,2359.0,1904.0,2,7,0
5,Team Wester,WEST,pwes58,7,6,0,2156.0,2070.0,6,8,0
13,Shake Them Dreads,SPIV,tcspivey8,4,9,0,1899.0,2155.0,13,9,1
10,High Noon,MURP,jtmurphree,5,8,0,1946.0,2043.0,10,10,1
12,Rule #76,76,dcputman,5,8,0,2029.0,2142.0,11,11,1
4,Yellow Egg Roll,CHEN,obigxbuddhao,4,9,0,1645.0,2077.0,12,12,0
8,Team Ray,RAY,jbray5,5,8,0,1948.0,2133.0,9,13,1
14,Team O'Dell,O'DE,hossboss31221,3,10,0,1620.0,2266.0,14,14,1
