team_id,team_name,player_id,player_name,position,pro_team,total_points,projected_total_points
1,Jaquizz Onyourface,10456,Marshawn Lynch,RB,SEA,253.0,0
1,Jaquizz Onyourface,13215,Dez Bryant,WR,DAL,222.0,0
1,Jaquizz Onyourface,4461,Andre Johnson,WR,IND,102.0,0
1,Jaquizz Onyourface,10475,Greg Olsen,TE,CAR,132.0,0
1,Jaquizz Onyourface,5529,Philip Rivers,QB,LAC,254.0,0
1,Jaquizz Onyourface,13981,Mark Ingram,RB,NO,155.0,0
1,Jaquizz Onyourface,16530,Khiry Robinson,RB,NO,49.0,0
1,Jaquizz Onyourface,11295,Martellus Bennett,TE,CHI,124.0,0
1,Jaquizz Onyourface,13204,Ryan Mathews,RB,PHI,54.0,0
1,Jaquizz Onyourface,14908,Michael Floyd,WR,ARI,112.0,0
1,Jaquizz Onyourface,-16014,Rams D/ST,D/ST,LAR,1182.0,0
1,Jaquizz Onyourface,14894,Robert Turbin,RB,SEA,52.0,0
1,Jaquizz Onyourface,15885,Charles Johnson,WR,MIN,57.0,0
1,Jaquizz Onyourface,10636,Mason Crosby,K,GB,143.0,0
1,Jaquizz Onyourface,-16010,Titans D/ST,D/ST,TEN,1167.0,0
1,Jaquizz Onyourface,13211,Toby Gerhart,RB,JAX,53.0,0
1,Jaquizz Onyourface,14985,Lavonte David,LB,TB,157.0,0
2,Team O'Dell,8439,Aaron Rodgers,QB,GB,343.0,0
2,Team O'Dell,9705,Brandon Marshall,WR,NYJ,119.0,0
2,Team O'Dell,8442,Roddy White,WR,ATL,128.0,0
2,Team O'Dell,8416,Alex Smith,QB,KC,207.0,0
2,Team O'Dell,13587,Chris Ivory,RB,NYJ,124.0,0
2,Team O'Dell,5362,Antonio Gates,TE,LAC,148.0,0
2,Team O'Dell,11276,Eddie Royal,WR,CHI,115.0,0
2,Team O'Dell,15951,Denard Robinson,RB,JAX,85.0,0
2,Team O'Dell,13958,Andrew Hawkins,WR,CLE,91.0,0
2,Team O'Dell,12576,Brandon LaFell,WR,NE,132.0,0
2,Team O'Dell,17427,Cairo Santos,K,KC,118.0,0
2,Team O'Dell,16040,C.J. Anderson,RB,DEN,168.0,0
2,Team O'Dell,15364,Jonas Gray,RB,NE,69.0,0
2,Team O'Dell,9620,D'Qwell Jackson,LB,IND,164.0,0
2,Team O'Dell,14184,Cecil Shorts III,WR,HOU,62.0,0
2,Team O'Dell,-16006,Cowboys D/ST,D/ST,DAL,1126.0,0
2,Team O'Dell,-16029,Panthers D/ST,D/ST,CAR,1143.0,0
3,Team Munford,11307,Jamaal Charles,RB,KC,199.0,0
3,Team Munford,13982,Julio Jones,WR,ATL,186.0,0
3,Team Munford,12483,Matthew Stafford,QB,DET,240.0,0
3,Team Munford,15826,Giovani Bernard,RB,CIN,136.0,0
3,Team Munford,15818,Keenan Allen,WR,LAC,96.0,0
3,Team Munford,12649,Julian Edelman,WR,NE,131.0,0
3,Team Munford,12579,Jeremy Maclin,WR,KC,193.0,0
3,Team Munford,14881,Russell Wilson,QB,SEA,313.0,0
3,Team Munford,14922,Mohamed Sanu,WR,CIN,115.0,0
3,Team Munford,-16021,Eagles D/ST,D/ST,PHI,1276.0,0
3,Team Munford,16976,Chandler Catanzaro,K,ARI,126.0,0
3,Team Munford,-16034,Texans D/ST,D/ST,HOU,1263.0,0
3,Team Munford,15830,Jamie Collins,LB,NE,140.0,0
3,Team Munford,13228,Jermaine Gresham,TE,CIN,69.0,0
3,Team Munford,15985,Jelani Jenkins,LB,MIA,121.0,0
3,Team Munford,14901,Dwayne Allen,TE,IND,87.0,0
3,Team Munford,15832,Knile Davis,RB,KC,95.0,0
4,Team Cornelius,2580,Drew Brees,QB,NO,290.0,0
4,Team Cornelius,14204,Julius Thomas,TE,JAX,119.0,0
4,Team Cornelius,4512,Anquan Boldin,WR,SF,132.0,0
4,Team Cornelius,5549,Steven Jackson,RB,ATL,111.0,0
4,Team Cornelius,-16025,49ers D/ST,D/ST,SF,1097.0,0
4,Team Cornelius,9329,Nick Novak,K,LAC,112.0,0
4,Team Cornelius,9838,Marques Colston,WR,NO,115.0,0
4,Team Cornelius,14012,Andy Dalton,QB,CIN,212.0,0
4,Team Cornelius,9684,Owen Daniels,TE,DEN,72.0,0
4,Team Cornelius,6016,Malcom Floyd,WR,LAC,117.0,0
4,Team Cornelius,15707,Larry Donnell,TE,NYG,85.0,0
4,Team Cornelius,17133,Isaiah Crowell,RB,CLE,103.0,0
4,Team Cornelius,15501,Bobby Rainey,RB,TB,76.0,0
4,Team Cornelius,14221,Doug Baldwin,WR,SEA,95.0,0
4,Team Cornelius,13976,Von Miller,LB,DEN,91.0,0
4,Team Cornelius,4333,Matt Bryant,K,ATL,146.0,0
4,Team Cornelius,-16011,Colts D/ST,D/ST,IND,1139.0,0
5,And god said I  hate you Tebow,14924,T.Y. Hilton,WR,IND,175.0,0
