team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
13,Rice Beater,SPIV,tcspivey8,9,3,1,1501.0,1241.0,1,1,1
12,Rule #76,76,dcputman,7,5,1,1309.0,1169.0,7,2,1
3,Team Munford,MUNF,Henry Munford,9,4,0,1317.0,1207.0,3,3,0
8,Beats by Ray,RAY,jbray5,8,5,0,1203.0,1186.0,4,4,1
11,Peyton  Man-thing,TGIL,Gtgilbert88,7,5,1,1175.0,1202.0,6,5,1
6,LUCK isonmyside,THOM,zwthomas89,8,3,2,1259.0,1125.0,2,6,0
1,Jaquizz Onyourface,BSHU,cjhubauer,5,8,0,1378.0,1425.0,8,7,0
9,Schaub on my Knob,KNOB,crtaylor225,8,5,0,1301.0,1174.0,5,8,1
2,Team O'Dell,O'DE,jmodell10,4,9,0,1194.0,1245.0,10,9,0
10,High Noon,MURP,jtmurphree,5,8,0,1210.0,1306.0,9,10,1
4,Team Cornelius,B,bcornelius2,2,10,1,1054.0,1317.0,12,11,0
5,And god said I  hate you Tebow,TBOW,pwes58,3,10,0,1012.0,1316.0,11,12,0
