team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
10,High Noon,MURP,jtmurphree,10,3,0,1679.84,1452.8,1,1,0
1,Below Average Joes,BSHU,cjhubauer,7,6,0,1413.9800000000002,1411.42,6,2,0
12,Rule  #76,76,dcputman,7,6,0,1489.34,1587.72,4,3,1
13,Fuck Luck,SPVY,tcspivey8,7,6,0,1566.54,1495.46,2,4,1
2,Rodger  That,ODE,jmodell10,7,6,0,1428.1,1347.78,5,5,1
6,"Dude, Where's  My Lamar",THOM,zwthomas89; zthoma7700709,6,7,0,1501.9999999999998,1508.42,7,6,0
8,SCLSU Mud Dogs,SMD,jbray5,9,4,0,1504.0999999999997,1399.94,3,7,0
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,6,7,0,1456.76,1472.14,8,8,1
4,The New Guy,B,Josh Swing,6,7,0,1380.26,1434.8,9,9,1
3,Jim Ward's Ole Dick Necks,MUNF,Henry Munford,5,8,0,1554.88,1673.74,10,10,1
5,Remember the Fucking Titans,DVDA,payton9218600,5,8,0,1418.62,1433.14,11,11,0
9,Tonie's Tigers,CT,crtaylor225,3,10,0,1308.18,1485.24,12,12,0
