team_id,team_name,player_id,player_name,position,pro_team,total_points,projected_total_points
1,Below Average Joes,16800,Davante Adams,WR,GB,172.2,233.94
1,Below Average Joes,3116385,Joe Mixon,RB,CIN,207.9,238.18
1,Below Average Joes,15880,Robert Woods,WR,LAR,190.9,176.74
1,Below Average Joes,3045138,Mike Williams,WR,LAC,139.8,175.85
1,Below Average Joes,3046439,Hunter Henry,TE,LAC,124.7,136.82
1,Below Average Joes,3066158,Tarik Cohen,RB,CHI,125.4,152.02
1,Below Average Joes,3068267,Austin Ekeler,RB,LAC,263.0,146.54
1,Below Average Joes,13217,Golden Tate,WR,NYG,128.7,104.0
1,Below Average Joes,14979,Bobby Wagner,LB,SEA,171.0,158.62
1,Below Average Joes,14880,Kirk Cousins,QB,MIN,244.42,263.52
1,Below Average Joes,2980453,Jamaal Williams,RB,GB,131.8,93.36
1,Below Average Joes,14922,Mohamed Sanu Sr.,WR,NE,96.6,122.32
1,Below Average Joes,3821683,Austin Seibert,K,CLE,112.0,123.12
1,Below Average Joes,3916945,Darius Slayton,WR,NYG,149.0,31.23
1,Below Average Joes,-16007,Broncos D/ST,D/ST,DEN,81.0,87.34
1,Below Average Joes,8664,Ryan Fitzpatrick,QB,MIA,241.46,90.02
1,Below Average Joes,3139033,Mike Boone,RB,MIN,52.5,22.37
2,Rodger  That,2977644,Todd Gurley II,RB,LAR,204.9,254.64
2,Rodger  That,8439,Aaron Rodgers,QB,GB,278.38,299.61
2,Rodger  That,13981,Mark Ingram II,RB,BAL,230.5,196.76
2,Rodger  That,3045144,Tyler Boyd,WR,CIN,180.9,168.6
2,Rodger  That,3051876,Evan Engram,TE,NYG,87.4,144.49
2,Rodger  That,16725,Sammy Watkins,WR,KC,113.5,159.08
2,Rodger  That,3060022,Jordan Howard,RB,PHI,106.4,108.68
2,Rodger  That,2576716,Jamison Crowder,WR,NYJ,163.7,135.0
2,Rodger  That,2978273,Blake Martinez,LB,GB,165.0,153.77
2,Rodger  That,4047650,DK Metcalf,WR,SEA,159.1,116.85
2,Rodger  That,3121422,Terry McLaurin,WR,WSH,163.9,100.55
2,Rodger  That,-16025,49ers D/ST,D/ST,SF,164.0,86.18
2,Rodger  That,11122,Matt Prater,K,DET,128.0,124.91
2,Rodger  That,3139925,Rashaad Penny,RB,SEA,71.3,122.58
2,Rodger  That,4044452,Kaden Smith,TE,NYG,61.3,3.52
2,Rodger  That,3116164,Mike Gesicki,TE,MIA,112.5,80.13
2,Rodger  That,3052177,John Ross III,WR,CIN,82.0,85.03
3,Jim Ward's Ole Dick Necks,15825,Le'Veon Bell,RB,NYJ,182.0,247.05
3,Jim Ward's Ole Dick Necks,2976316,Michael Thomas,WR,NO,300.1,235.65
3,Jim Ward's Ole Dick Necks,2976212,Stefon Diggs,WR,MIN,182.6,181.49
3,Jim Ward's Ole Dick Necks,3043078,Derrick Henry,RB,TEN,286.6,221.71
3,Jim Ward's Ole Dick Necks,2976592,Sterling Shepard,WR,NYG,115.3,168.56
3,Jim Ward's Ole Dick Necks,3128429,Courtland Sutton,WR,DEN,187.42,128.43
3,Jim Ward's Ole Dick Necks,3059915,Kareem Hunt,RB,CLE,83.9,85.73
3,Jim Ward's Ole Dick Necks,2330,Tom Brady,QB,NE,264.68,298.09
3,Jim Ward's Ole Dick Necks,3917315,Kyler Murray,QB,ARI,287.28,284.11
3,Jim Ward's Ole Dick Necks,3055899,Harrison Butker,K,KC,162.0,138.47
3,Jim Ward's Ole Dick Necks,-16018,Saints D/ST,D/ST,NO,128.0,100.46
3,Jim Ward's Ole Dick Necks,16804,John Brown,WR,BUF,183.82,114.91
3,Jim Ward's Ole Dick Necks,2514270,Jordan Hicks,LB,ARI,164.0,135.84
3,Jim Ward's Ole Dick Necks,16777,Carlos Hyde,RB,HOU,150.2,85.55
3,Jim Ward's Ole Dick Necks,13232,Jimmy Graham,TE,GB,81.7,110.13
