overall_pick,round_num,round_pick,team_id,team_name,owner,player_id,player_name,position,bid_amount,keeper
1,1,1,11,ConcreteJungleWet DreamTomato,Gtgilbert88,4430807,Bijan Robinson,RB,0,False
2,1,2,13,Christopher's Kryptonite ,tcspivey8,4374302,Amon-Ra St. Brown,WR,0,False
3,1,3,2,Pour One Out For Mahomies!!,Burns1981,3918298,Josh Allen,QB,0,False
4,1,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4241389,CeeDee Lamb,WR,0,False
5,1,5,4,Injured Reserve ,Make Bama Champions Again,3117251,Christian McCaffrey,RB,0,False
6,1,6,12,Rule  #76,dcputman,3116406,Tyreek Hill,WR,0,False
7,1,7,9,Men of Will,wdsx5,4262921,Justin Jefferson,WR,0,False
8,1,8,6,Thom-ASS,zwthomas89; zthoma7700709,3929630,Saquon Barkley,RB,0,False
9,1,9,1,Too Much Bama In Me ,cjhubauer,4569618,Garrett Wilson,WR,0,False
10,1,10,8,SCLSU Mud Dogs,jbray5,4427366,Breece Hall,RB,0,False
11,1,11,10,LaPorta Potty,espnfan1709357526,4242335,Jonathan Taylor,RB,0,False
12,1,12,5,Jones in for a Repeat,payton9218600,4362628,Ja'Marr Chase,WR,0,False
13,2,1,5,Jones in for a Repeat,payton9218600,3126486,Deebo Samuel Sr.,WR,0,False
14,2,2,10,LaPorta Potty,espnfan1709357526,3043078,Derrick Henry,RB,0,False
15,2,3,8,SCLSU Mud Dogs,jbray5,4426502,Drake London,WR,0,False
16,2,4,1,Too Much Bama In Me ,cjhubauer,4429795,Jahmyr Gibbs,RB,0,False
17,2,5,6,Thom-ASS,zwthomas89; zthoma7700709,4047646,A.J. Brown,WR,0,False
18,2,6,9,Men of Will,wdsx5,4426515,Puka Nacua,WR,0,False
19,2,7,12,Rule  #76,dcputman,4432708,Marvin Harrison Jr.,WR,0,False
20,2,8,4,Injured Reserve ,Make Bama Champions Again,3116385,Joe Mixon,RB,0,False
21,2,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4361529,Isiah Pacheco,RB,0,False
22,2,10,2,Pour One Out For Mahomies!!,Burns1981,4239996,Travis Etienne Jr.,RB,0,False
23,2,11,13,Christopher's Kryptonite ,tcspivey8,4430737,Kyren Williams,RB,0,False
24,2,12,11,ConcreteJungleWet DreamTomato,Gtgilbert88,16800,Davante Adams,WR,0,False
25,3,1,11,ConcreteJungleWet DreamTomato,Gtgilbert88,4040715,Jalen Hurts,QB,0,False
26,3,2,13,Christopher's Kryptonite ,tcspivey8,3139477,Patrick Mahomes,QB,0,False
27,3,3,2,Pour One Out For Mahomies!!,Burns1981,4258173,Nico Collins,WR,0,False
28,3,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4697815,Rachaad White,RB,0,False
29,3,5,4,Injured Reserve ,Make Bama Champions Again,4372016,Jaylen Waddle,WR,0,False
30,3,6,12,Rule  #76,dcputman,4379399,James Cook,RB,0,False
31,3,7,9,Men of Will,wdsx5,3916387,Lamar Jackson,QB,0,False
32,3,8,6,Thom-ASS,zwthomas89; zthoma7700709,15847,Travis Kelce,TE,0,False
33,3,9,1,Too Much Bama In Me ,cjhubauer,4035687,Michael Pittman Jr.,WR,0,False
34,3,10,8,SCLSU Mud Dogs,jbray5,4361370,Chris Olave,WR,0,False
35,3,11,10,LaPorta Potty,espnfan1709357526,4429160,De'Von Achane,RB,0,False
36,3,12,5,Jones in for a Repeat,payton9218600,4567048,Kenneth Walker III,RB,0,False
37,4,1,5,Jones in for a Repeat,payton9218600,4360310,Trevor Lawrence,,0,False
38,4,2,10,LaPorta Potty,espnfan1709357526,4430027,Sam LaPorta,TE,0,False
39,4,3,8,SCLSU Mud Dogs,jbray5,4429084,Anthony Richardson,QB,0,False
40,4,4,1,Too Much Bama In Me ,cjhubauer,4047365,Josh Jacobs,RB,0,False
41,4,5,6,Thom-ASS,zwthomas89; zthoma7700709,3054850,Alvin Kamara,RB,0,False
42,4,6,9,Men of Will,wdsx5,4047650,DK Metcalf,WR,0,False
43,4,7,12,Rule  #76,dcputman,4241478,DeVonta Smith,WR,0,False
44,4,8,4,Injured Reserve ,Make Bama Champions Again,4360438,Brandon Aiyuk,WR,0,False
45,4,9,3,Jim Ward's Ole Dick Necks,Henry Munford,2977187,Cooper Kupp,WR,0,False
46,4,10,2,Pour One Out For Mahomies!!,Burns1981,4569173,Rhamondre Stevenson,RB,0,False
47,4,11,13,Christopher's Kryptonite ,tcspivey8,16737,Mike Evans,WR,0,False
48,4,12,11,ConcreteJungleWet DreamTomato,Gtgilbert88,4595348,Malik Nabers,WR,0,False
49,5,1,11,ConcreteJungleWet DreamTomato,Gtgilbert88,3116365,Mark Andrews,TE,0,False
50,5,2,13,Christopher's Kryptonite ,tcspivey8,3045147,James Conner,RB,0,False
51,5,3,2,Pour One Out For Mahomies!!,Burns1981,2976212,Stefon Diggs,,0,False
52,5,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4432577,C.J. Stroud,QB,0,False
53,5,5,4,Injured Reserve ,Make Bama Champions Again,3915416,DJ Moore,WR,0,False
54,5,6,12,Rule  #76,dcputman,4385690,Dalton Kincaid,TE,0,False
55,5,7,9,Men of Will,wdsx5,4360248,Kyle Pitts,TE,0,False
56,5,8,6,Thom-ASS,zwthomas89; zthoma7700709,3925357,Calvin Ridley,WR,0,False
57,5,9,1,Too Much Bama In Me ,cjhubauer,4426354,George Pickens,WR,0,False
58,5,10,8,SCLSU Mud Dogs,jbray5,4361777,Zamir White,,0,False
59,5,11,10,LaPorta Potty,espnfan1709357526,2976499,Amari Cooper,WR,0,False
60,5,12,5,Jones in for a Repeat,payton9218600,3042519,Aaron Jones,RB,0,False
61,6,1,5,Jones in for a Repeat,payton9218600,2576414,Raheem Mostert,,0,False
62,6,2,10,LaPorta Potty,espnfan1709357526,2577417,Dak Prescott,,0,False
63,6,3,8,SCLSU Mud Dogs,jbray5,4035538,David Montgomery,,0,False
64,6,4,1,Too Much Bama In Me ,cjhubauer,4361307,Trey McBride,TE,0,False
65,6,5,6,Thom-ASS,zwthomas89; zthoma7700709,4429615,Zay Flowers,WR,0,False
66,6,6,9,Men of Will,wdsx5,4241474,Brian Robinson Jr.,RB,0,False
67,6,7,12,Rule  #76,dcputman,3917315,Kyler Murray,QB,0,False
68,6,8,4,Injured Reserve ,Make Bama Champions Again,3915511,Joe Burrow,QB,0,False
69,6,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4428331,Rashee Rice,,0,False
70,6,10,2,Pour One Out For Mahomies!!,Burns1981,3051876,Evan Engram,,0,False
71,6,11,13,Christopher's Kryptonite ,tcspivey8,4259545,D'Andre Swift,RB,0,False
72,6,12,11,ConcreteJungleWet DreamTomato,Gtgilbert88,3116165,Chris Godwin,,0,False
73,7,1,11,ConcreteJungleWet DreamTomato,Gtgilbert88,4361579,Javonte Williams,RB,0,False
74,7,2,13,Christopher's Kryptonite ,tcspivey8,3895856,Christian Kirk,,0,False
75,7,3,2,Pour One Out For Mahomies!!,Burns1981,4612826,Ladd McConkey,WR,0,False
76,7,4,3,Jim Ward's Ole Dick Necks,Henry Munford,3068267,Austin Ekeler,RB,0,False
77,7,5,4,Injured Reserve ,Make Bama Champions Again,4366031,Tank Dell,WR,0,False
78,7,6,12,Rule  #76,dcputman,4569987,Jaylen Warren,RB,0,False
79,7,7,9,Men of Will,wdsx5,4241457,Najee Harris,RB,0,False
80,7,8,6,Thom-ASS,zwthomas89; zthoma7700709,4361741,Brock Purdy,QB,0,False
81,7,9,1,Too Much Bama In Me ,cjhubauer,3932905,Diontae Johnson,,0,False
82,7,10,8,SCLSU Mud Dogs,jbray5,4239993,Tee Higgins,WR,0,False
83,7,11,10,LaPorta Potty,espnfan1709357526,3121422,Terry McLaurin,WR,0,False
84,7,12,5,Jones in for a Repeat,payton9218600,15818,Keenan Allen,WR,0,False
85,8,1,5,Jones in for a Repeat,payton9218600,3121023,Dallas Goedert,,0,False
86,8,2,10,LaPorta Potty,espnfan1709357526,3916148,Tony Pollard,RB,0,False
87,8,3,8,SCLSU Mud Dogs,jbray5,4362249,Jayden Reed,WR,0,False
88,8,4,1,Too Much Bama In Me ,cjhubauer,4040761,Devin Singletary,RB,0,False
89,8,5,6,Thom-ASS,zwthomas89; zthoma7700709,3128429,Courtland Sutton,WR,0,False
90,8,6,9,Men of Will,wdsx5,3051392,Ezekiel Elliott,,0,False
91,8,7,12,Rule  #76,dcputman,4678008,Jonathon Brooks,RB,0,False
92,8,8,4,Injured Reserve ,Make Bama Champions Again,3123076,David Njoku,TE,0,False
93,8,9,3,Jim Ward's Ole Dick Necks,Henry Munford,3040151,George Kittle,TE,0,False
94,8,10,2,Pour One Out For Mahomies!!,Burns1981,4683062,Xavier Worthy,WR,0,False
95,8,11,13,Christopher's Kryptonite ,tcspivey8,4242355,Jake Ferguson,TE,0,False
96,8,12,11,ConcreteJungleWet DreamTomato,Gtgilbert88,4428557,Tyjae Spears,RB,0,False
97,9,1,11,ConcreteJungleWet DreamTomato,Gtgilbert88,4635008,Keon Coleman,WR,0,False
98,9,2,13,Christopher's Kryptonite ,tcspivey8,4431299,Rome Odunze,WR,0,False
99,9,3,2,Pour One Out For Mahomies!!,Burns1981,3128720,Nick Chubb,RB,0,False
100,9,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4372019,Jerome Ford,RB,0,False
101,9,5,4,Injured Reserve ,Make Bama Champions Again,4362238,Chase Brown,RB,0,False
102,9,6,12,Rule  #76,dcputman,4035676,Zack Moss,RB,0,False
103,9,7,9,Men of Will,wdsx5,4248528,Christian Watson,WR,0,False
104,9,8,6,Thom-ASS,zwthomas89; zthoma7700709,4241416,Chuba Hubbard,RB,0,False
105,9,9,1,Too Much Bama In Me ,cjhubauer,3051926,Gus Edwards,,0,False
106,9,10,8,SCLSU Mud Dogs,jbray5,4432665,Brock Bowers,TE,0,False
107,9,11,10,LaPorta Potty,espnfan1709357526,4036378,Jordan Love,QB,0,False
108,9,12,5,Jones in for a Repeat,payton9218600,4430878,Jaxon Smith-Njigba,WR,0,False
109,10,1,5,Jones in for a Repeat,payton9218600,4431611,Caleb Williams,,0,False
110,10,2,10,LaPorta Potty,espnfan1709357526,3045138,Mike Williams,,0,False
111,10,3,8,SCLSU Mud Dogs,jbray5,4429096,Blake Corum,,0,False
112,10,4,1,Too Much Bama In Me ,cjhubauer,4426388,Jameson Williams,WR,0,False
113,10,5,6,Thom-ASS,zwthomas89; zthoma7700709,15795,DeAndre Hopkins,WR,0,False
114,10,6,9,Men of Will,wdsx5,4038941,Justin Herbert,QB,0,False
115,10,7,12,Rule  #76,dcputman,4038815,Rico Dowdle,RB,0,False
116,10,8,4,Injured Reserve ,Make Bama Champions Again,4429205,Jordan Addison,WR,0,False
117,10,9,3,Jim Ward's Ole Dick Necks,Henry Munford,4373626,Tyler Allgeier,RB,0,False
118,10,10,2,Pour One Out For Mahomies!!,Burns1981,4032473,Rashid Shaheed,,0,False
119,10,11,13,Christopher's Kryptonite ,tcspivey8,3121427,Curtis Samuel,,0,False
