week,is_playoff,team_id,team_name,player_id,player_name,position,slot,started,points,projected_points,on_bye
1,False,6,Thom-ASS,3929630,Saquon Barkley,RB,RB,True,32.2,15.62,False
1,False,6,Thom-ASS,4047646,A.J. Brown,WR,WR,True,20.4,14.23,False
1,False,6,Thom-ASS,15847,Travis Kelce,TE,TE,True,4.9,11.3,False
1,False,6,Thom-ASS,3054850,Alvin Kamara,RB,RB,True,19.5,15.11,False
1,False,6,Thom-ASS,3925357,Calvin Ridley,WR,WR,True,6.5,11.97,False
1,False,6,Thom-ASS,4429615,Zay Flowers,WR,RB/WR/TE,True,8.1,12.11,False
1,False,6,Thom-ASS,4361741,Brock Purdy,QB,QB,True,10.34,16.62,False
1,False,6,Thom-ASS,3128429,Courtland Sutton,WR,BE,False,6.8,9.63,False
1,False,6,Thom-ASS,4241416,Chuba Hubbard,RB,BE,False,1.4,10.41,False
1,False,6,Thom-ASS,15795,DeAndre Hopkins,WR,BE,False,1.3,9.71,False
1,False,6,Thom-ASS,3117253,Bobby Okereke,LB,DP,True,5.0,9.51,False
1,False,6,Thom-ASS,-16005,Browns D/ST,D/ST,D/ST,True,4.0,6.5,False
1,False,6,Thom-ASS,14880,Kirk Cousins,QB,BE,False,6.2,15.51,False
1,False,6,Thom-ASS,3953687,Brandon Aubrey,K,K,True,21.0,7.87,False
1,False,6,Thom-ASS,4429023,MarShawn Lloyd,RB,BE,False,0.0,0.0,False
1,False,6,Thom-ASS,4258595,Cole Kmet,TE,BE,False,0.9,5.63,False
1,False,6,Thom-ASS,4428209,Ricky Pearsall,WR,BE,False,0.0,0.0,False
1,False,10,LaPorta Potty,4242335,Jonathan Taylor,RB,RB,True,10.8,15.5,False
1,False,10,LaPorta Potty,3043078,Derrick Henry,RB,RB,True,10.6,13.78,False
1,False,10,LaPorta Potty,4429160,De'Von Achane,RB,RB/WR/TE,True,19.5,12.43,False
1,False,10,LaPorta Potty,4430027,Sam LaPorta,TE,TE,True,6.5,11.32,False
1,False,10,LaPorta Potty,2976499,Amari Cooper,WR,WR,True,2.6,11.31,False
1,False,10,LaPorta Potty,2577417,Dak Prescott,QB,BE,False,11.46,16.63,False
1,False,10,LaPorta Potty,3121422,Terry McLaurin,WR,WR,True,2.7,10.71,False
1,False,10,LaPorta Potty,3916148,Tony Pollard,RB,BE,False,16.9,9.76,False
1,False,10,LaPorta Potty,4036378,Jordan Love,QB,QB,True,16.4,18.41,False
1,False,10,LaPorta Potty,3045138,Mike Williams,WR,BE,False,0.0,6.31,False
1,False,10,LaPorta Potty,4242433,Joshua Palmer,WR,BE,False,2.5,9.95,False
1,False,10,LaPorta Potty,4362851,Ernest Jones IV,LB,DP,True,3.0,9.38,False
1,False,10,LaPorta Potty,4361432,Romeo Doubs,WR,BE,False,7.0,7.41,False
1,False,10,LaPorta Potty,3050478,Jake Elliott,K,K,True,10.0,8.43,False
1,False,10,LaPorta Potty,4599739,Kendre Miller,RB,IR,False,0.0,0.0,False
1,False,10,LaPorta Potty,4361411,Pat Freiermuth,TE,BE,False,4.7,7.03,False
1,False,10,LaPorta Potty,-16026,Seahawks D/ST,D/ST,D/ST,True,11.0,7.98,False
1,False,10,LaPorta Potty,4430637,Ja'Lynn Polk,WR,BE,False,1.1,7.65,False
1,False,13,Christopher's Kryptonite ,4374302,Amon-Ra St. Brown,WR,WR,True,3.8,15.79,False
1,False,13,Christopher's Kryptonite ,4430737,Kyren Williams,RB,RB,True,12.9,14.4,False
1,False,13,Christopher's Kryptonite ,3139477,Patrick Mahomes,QB,QB,True,14.64,19.47,False
1,False,13,Christopher's Kryptonite ,16737,Mike Evans,WR,WR,True,20.6,12.8,False
1,False,13,Christopher's Kryptonite ,3045147,James Conner,RB,RB,True,17.8,12.08,False
1,False,13,Christopher's Kryptonite ,4259545,D'Andre Swift,RB,BE,False,5.0,11.34,False
1,False,13,Christopher's Kryptonite ,3895856,Christian Kirk,WR,RB/WR/TE,True,3.5,10.13,False
1,False,13,Christopher's Kryptonite ,4242355,Jake Ferguson,TE,TE,True,3.0,8.28,False
1,False,13,Christopher's Kryptonite ,4431299,Rome Odunze,WR,BE,False,1.6,8.07,False
1,False,13,Christopher's Kryptonite ,3121427,Curtis Samuel,WR,BE,False,2.5,8.99,False
1,False,13,Christopher's Kryptonite ,3050073,Foyesade Oluokun,LB,DP,True,11.0,9.85,False
1,False,13,Christopher's Kryptonite ,4429275,Trey Benson,RB,BE,False,2.3,5.36,False
1,False,13,Christopher's Kryptonite ,3124679,Jason Sanders,K,K,True,9.0,7.7,False
1,False,13,Christopher's Kryptonite ,-16002,Bills D/ST,D/ST,D/ST,True,7.0,5.37,False
1,False,13,Christopher's Kryptonite ,4361418,Will Levis,QB,BE,False,6.68,14.6,False
1,False,13,Christopher's Kryptonite ,3054212,Jonnu Smith,TE,BE,False,1.2,4.34,False
1,False,13,Christopher's Kryptonite ,4360569,Jordan Mason,RB,BE,False,21.7,3.02,False
1,False,5,Jones in for a Repeat,4362628,Ja'Marr Chase,WR,WR,True,10.2,13.76,False
1,False,5,Jones in for a Repeat,3126486,Deebo Samuel Sr.,WR,WR,True,16.2,13.84,False
1,False,5,Jones in for a Repeat,4567048,Kenneth Walker III,RB,RB,True,17.9,15.12,False
1,False,5,Jones in for a Repeat,4360310,Trevor Lawrence,QB,BE,False,11.28,15.48,False
1,False,5,Jones in for a Repeat,3042519,Aaron Jones,RB,RB,True,17.9,12.22,False
1,False,5,Jones in for a Repeat,2576414,Raheem Mostert,RB,RB/WR/TE,True,2.9,10.36,False
1,False,5,Jones in for a Repeat,15818,Keenan Allen,WR,BE,False,4.9,10.24,False
1,False,5,Jones in for a Repeat,3121023,Dallas Goedert,TE,TE,True,5.1,7.85,False
1,False,5,Jones in for a Repeat,4430878,Jaxon Smith-Njigba,WR,BE,False,3.9,10.12,False
1,False,5,Jones in for a Repeat,4431611,Caleb Williams,QB,QB,True,7.22,17.29,False
1,False,5,Jones in for a Repeat,3138826,Fred Warner,LB,BE,False,9.0,9.5,False
1,False,5,Jones in for a Repeat,4243537,Gabe Davis,WR,BE,False,7.7,8.23,False
1,False,5,Jones in for a Repeat,4692590,Jalin Hyatt,WR,BE,False,0.0,5.97,False
1,False,5,Jones in for a Repeat,4689936,Jake Bates,K,K,True,8.0,8.37,False
