team_id,team_name,player_id,player_name,position,pro_team,total_points,projected_total_points
1,Too Much Bama In Me ,4569618,Garrett Wilson,WR,NYJ,202.4,211.34
1,Too Much Bama In Me ,4429795,Jahmyr Gibbs,RB,DET,337.9,213.22
1,Too Much Bama In Me ,4035687,Michael Pittman Jr.,WR,IND,133.3,181.26
1,Too Much Bama In Me ,4047365,Josh Jacobs,RB,GB,276.1,195.88
1,Too Much Bama In Me ,4426354,George Pickens,WR,PIT,135.9,173.73
1,Too Much Bama In Me ,4361307,Trey McBride,TE,ARI,194.3,140.95
1,Too Much Bama In Me ,4373678,Khalil Shakir,WR,BUF,144.5,123.5
1,Too Much Bama In Me ,15835,Zach Ertz,TE,WSH,146.4,58.2
1,Too Much Bama In Me ,4689936,Jake Bates,K,DET,160.0,137.91
1,Too Much Bama In Me ,4360078,Alec Pierce,WR,IND,147.9,42.52
1,Too Much Bama In Me ,14881,Russell Wilson,QB,PIT,172.78,176.55
1,Too Much Bama In Me ,-16027,Buccaneers D/ST,D/ST,TB,91.0,75.24
1,Too Much Bama In Me ,4043130,Jordyn Brooks,LB,MIA,153.0,112.19
1,Too Much Bama In Me ,-16026,Seahawks D/ST,D/ST,SEA,121.0,102.28
1,Too Much Bama In Me ,4372019,Jerome Ford,RB,CLE,115.5,127.77
1,Too Much Bama In Me ,4599739,Kendre Miller,RB,NO,26.6,52.79
1,Too Much Bama In Me ,4685720,Bryce Young,QB,CAR,196.02,223.68
2,Pour One Out For Mahomies!!,3918298,Josh Allen,QB,BUF,380.04,313.58
2,Pour One Out For Mahomies!!,4239996,Travis Etienne Jr.,RB,JAX,111.7,202.02
2,Pour One Out For Mahomies!!,4258173,Nico Collins,WR,HOU,178.6,190.63
2,Pour One Out For Mahomies!!,4569173,Rhamondre Stevenson,RB,NE,159.4,168.88
2,Pour One Out For Mahomies!!,4612826,Ladd McConkey,WR,LAC,201.9,146.12
2,Pour One Out For Mahomies!!,4683062,Xavier Worthy,WR,KC,158.7,148.04
2,Pour One Out For Mahomies!!,3128720,Nick Chubb,RB,CLE,63.8,125.75
2,Pour One Out For Mahomies!!,3915189,Roquan Smith,LB,BAL,163.0,168.99
2,Pour One Out For Mahomies!!,16460,Adam Thielen,WR,CAR,116.5,134.41
2,Pour One Out For Mahomies!!,3116164,Mike Gesicki,TE,CIN,109.0,64.03
2,Pour One Out For Mahomies!!,3121409,Noah Brown,WR,WSH,68.8,60.22
2,Pour One Out For Mahomies!!,3051738,Marquez Valdes-Scantling,WR,SEA,76.0,23.38
2,Pour One Out For Mahomies!!,4036378,Jordan Love,QB,GB,233.86,206.72
2,Pour One Out For Mahomies!!,4371961,Micah McFadden,LB,NYG,117.0,100.88
2,Pour One Out For Mahomies!!,16731,Brandin Cooks,WR,DAL,56.6,126.84
3,Jim Ward's Ole Dick Necks,4241389,CeeDee Lamb,WR,DAL,215.9,260.3
3,Jim Ward's Ole Dick Necks,4361529,Isiah Pacheco,RB,KC,50.9,209.84
3,Jim Ward's Ole Dick Necks,4697815,Rachaad White,RB,TB,175.1,198.51
3,Jim Ward's Ole Dick Necks,2977187,Cooper Kupp,WR,SEA,141.5,178.91
3,Jim Ward's Ole Dick Necks,4432577,C.J. Stroud,QB,HOU,220.38,276.58
3,Jim Ward's Ole Dick Necks,3068267,Austin Ekeler,RB,WSH,114.8,148.78
3,Jim Ward's Ole Dick Necks,3040151,George Kittle,TE,SF,200.6,143.99
3,Jim Ward's Ole Dick Necks,4373626,Tyler Allgeier,RB,ATL,105.7,127.26
3,Jim Ward's Ole Dick Necks,4040655,Darnell Mooney,WR,ATL,161.2,146.21
3,Jim Ward's Ole Dick Necks,2971573,Ka'imi Fairbairn,K,HOU,168.0,140.45
3,Jim Ward's Ole Dick Necks,14979,Bobby Wagner,LB,WSH,142.0,166.51
3,Jim Ward's Ole Dick Necks,4243331,Cade Otton,TE,TB,115.1,87.92
3,Jim Ward's Ole Dick Necks,4040761,Devin Singletary,RB,NYG,87.1,150.58
3,Jim Ward's Ole Dick Necks,15864,Geno Smith,QB,LV,266.0,227.03
