week,is_regular,team_id,team_name,points,opp_team_id,opp_team_name,is_bye,outcome
6,True,13,Christopher's Kryptonite ,92.4,11,ConcreteJungleWet DreamTomato,False,L
7,True,1,Too Much Bama In Me ,136.72,4,Injured Reserve ,False,W
7,True,2,Pour One Out For Mahomies!!,76.02,6,Thom-ASS,False,L
7,True,3,Jim Ward's Ole Dick Necks,79.84,5,Jones in for a Repeat,False,L
7,True,4,Injured Reserve ,103.14,1,Too Much Bama In Me ,False,L
7,True,5,Jones in for a Repeat,114.96,3,Jim Ward's Ole Dick Necks,False,W
7,True,6,Thom-ASS,116.08,2,Pour One Out For Mahomies!!,False,W
7,True,8,SCLSU Mud Dogs,99.74,9,Men of Will,False,L
7,True,9,Men of Will,148.34,8,SCLSU Mud Dogs,False,W
7,True,10,LaPorta Potty,111.7,11,ConcreteJungleWet DreamTomato,False,L
7,True,11,ConcreteJungleWet DreamTomato,127.16,10,LaPorta Potty,False,W
7,True,12,Rule  #76,93.3,13,Christopher's Kryptonite ,False,L
7,True,13,Christopher's Kryptonite ,133.38,12,Rule  #76,False,W
8,True,1,Too Much Bama In Me ,134.66,8,SCLSU Mud Dogs,False,W
8,True,2,Pour One Out For Mahomies!!,97.92,5,Jones in for a Repeat,False,L
8,True,3,Jim Ward's Ole Dick Necks,139.2,9,Men of Will,False,W
8,True,4,Injured Reserve ,85.86,13,Christopher's Kryptonite ,False,L
8,True,5,Jones in for a Repeat,111.5,2,Pour One Out For Mahomies!!,False,W
8,True,6,Thom-ASS,124.8,11,ConcreteJungleWet DreamTomato,False,L
8,True,8,SCLSU Mud Dogs,95.66,1,Too Much Bama In Me ,False,L
8,True,9,Men of Will,131.96,3,Jim Ward's Ole Dick Necks,False,L
8,True,10,LaPorta Potty,120.44,12,Rule  #76,False,L
8,True,11,ConcreteJungleWet DreamTomato,131.54,6,Thom-ASS,False,W
8,True,12,Rule  #76,139.78,10,LaPorta Potty,False,W
8,True,13,Christopher's Kryptonite ,121.64,4,Injured Reserve ,False,W
9,True,1,Too Much Bama In Me ,127.04,3,Jim Ward's Ole Dick Necks,False,W
9,True,2,Pour One Out For Mahomies!!,93.7,9,Men of Will,False,W
9,True,3,Jim Ward's Ole Dick Necks,114.04,1,Too Much Bama In Me ,False,L
9,True,4,Injured Reserve ,110.34,10,LaPorta Potty,False,L
9,True,5,Jones in for a Repeat,118.0,11,ConcreteJungleWet DreamTomato,False,L
9,True,6,Thom-ASS,147.08,12,Rule  #76,False,W
9,True,8,SCLSU Mud Dogs,113.16,13,Christopher's Kryptonite ,False,W
9,True,9,Men of Will,87.38,2,Pour One Out For Mahomies!!,False,L
9,True,10,LaPorta Potty,131.32,4,Injured Reserve ,False,W
9,True,11,ConcreteJungleWet DreamTomato,139.4,5,Jones in for a Repeat,False,W
9,True,12,Rule  #76,94.66,6,Thom-ASS,False,L
9,True,13,Christopher's Kryptonite ,100.98,8,SCLSU Mud Dogs,False,L
10,True,1,Too Much Bama In Me ,99.88,2,Pour One Out For Mahomies!!,False,W
10,True,2,Pour One Out For Mahomies!!,65.0,1,Too Much Bama In Me ,False,L
10,True,3,Jim Ward's Ole Dick Necks,102.48,13,Christopher's Kryptonite ,False,W
10,True,4,Injured Reserve ,107.32,6,Thom-ASS,False,L
10,True,5,Jones in for a Repeat,131.84,12,Rule  #76,False,W
10,True,6,Thom-ASS,136.22,4,Injured Reserve ,False,W
10,True,8,SCLSU Mud Dogs,107.38,10,LaPorta Potty,False,L
10,True,9,Men of Will,112.7,11,ConcreteJungleWet DreamTomato,False,W
10,True,10,LaPorta Potty,117.14,8,SCLSU Mud Dogs,False,W
10,True,11,ConcreteJungleWet DreamTomato,107.38,9,Men of Will,False,L
10,True,12,Rule  #76,107.74,5,Jones in for a Repeat,False,L
10,True,13,Christopher's Kryptonite ,96.94,3,Jim Ward's Ole Dick Necks,False,L
11,True,1,Too Much Bama In Me ,115.9,11,ConcreteJungleWet DreamTomato,False,W
11,True,2,Pour One Out For Mahomies!!,105.68,13,Christopher's Kryptonite ,False,L
11,True,3,Jim Ward's Ole Dick Necks,105.78,10,LaPorta Potty,False,W
11,True,4,Injured Reserve ,121.84,5,Jones in for a Repeat,False,W
11,True,5,Jones in for a Repeat,103.04,4,Injured Reserve ,False,L
11,True,6,Thom-ASS,128.86,8,SCLSU Mud Dogs,False,L
11,True,8,SCLSU Mud Dogs,137.04,6,Thom-ASS,False,W
11,True,9,Men of Will,98.68,12,Rule  #76,False,L
11,True,10,LaPorta Potty,104.34,3,Jim Ward's Ole Dick Necks,False,L
11,True,11,ConcreteJungleWet DreamTomato,113.24,1,Too Much Bama In Me ,False,L
11,True,12,Rule  #76,134.9,9,Men of Will,False,W
11,True,13,Christopher's Kryptonite ,144.54,2,Pour One Out For Mahomies!!,False,W
12,True,1,Too Much Bama In Me ,153.78,12,Rule  #76,False,W
12,True,2,Pour One Out For Mahomies!!,106.02,10,LaPorta Potty,False,W
12,True,3,Jim Ward's Ole Dick Necks,97.46,6,Thom-ASS,False,L
12,True,4,Injured Reserve ,127.56,9,Men of Will,False,W
12,True,5,Jones in for a Repeat,105.2,8,SCLSU Mud Dogs,False,L
12,True,6,Thom-ASS,141.1,3,Jim Ward's Ole Dick Necks,False,W
12,True,8,SCLSU Mud Dogs,138.8,5,Jones in for a Repeat,False,W
12,True,9,Men of Will,101.68,4,Injured Reserve ,False,L
12,True,10,LaPorta Potty,105.66,2,Pour One Out For Mahomies!!,False,L
12,True,11,ConcreteJungleWet DreamTomato,74.96,13,Christopher's Kryptonite ,False,L
12,True,12,Rule  #76,79.9,1,Too Much Bama In Me ,False,L
12,True,13,Christopher's Kryptonite ,105.56,11,ConcreteJungleWet DreamTomato,False,W
13,True,1,Too Much Bama In Me ,117.2,4,Injured Reserve ,False,W
13,True,2,Pour One Out For Mahomies!!,121.52,6,Thom-ASS,False,W
13,True,3,Jim Ward's Ole Dick Necks,61.28,5,Jones in for a Repeat,False,L
13,True,4,Injured Reserve ,108.5,1,Too Much Bama In Me ,False,L
13,True,5,Jones in for a Repeat,90.5,3,Jim Ward's Ole Dick Necks,False,W
13,True,6,Thom-ASS,108.62,2,Pour One Out For Mahomies!!,False,L
13,True,8,SCLSU Mud Dogs,154.44,9,Men of Will,False,W
13,True,9,Men of Will,126.28,8,SCLSU Mud Dogs,False,L
