team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
1,Nico Suave,BSHU,cjhubauer,0,0,0,0.0,0.0,0,,0
3,Jim Ward's Ole Dick Necks,MUNF,Henry Munford,0,0,0,0.0,0.0,0,,1
5,Flowers for Allgeiernon,W3st,payton9218600,0,0,0,0.0,0.0,0,,0
8,SCLSU Mud Dogs,SMD,jbray5,0,0,0,0.0,0.0,0,,1
9,Men of Will,Will,wdsx5,0,0,0,0.0,0.0,0,,0
10,Silence of the Lamb,Walk,espnfan1709357526,0,0,0,0.0,0.0,0,,0
11,ConcreteJungleWet DreamTomato,TGIL,Gtgilbert88,0,0,0,0.0,0.0,0,,1
12,Blake's Holographic Charizard,Char,dcputman; espnfan0780082387,0,0,0,0.0,0.0,0,,1
13,Christopher's Kryptonite ,3X,tcspivey8,0,0,0,0.0,0.0,0,,0
14,Deston's Ride or Dies ,BBT,wbbollinger08,0,0,0,0.0,0.0,0,,1
