overall_pick,round_num,round_pick,team_id,team_name,owner,player_id,player_name,position,bid_amount,keeper
1,1,1,9,Tonie's Tigers,crtaylor225,3051392,Ezekiel Elliott,RB,0,False
2,1,2,5,Russ Finna Cuck,payton9218600,3128720,Nick Chubb,RB,0,False
3,1,3,3,Jim Ward's Ole Dick Necks,Henry Munford,3042519,Aaron Jones,RB,0,False
4,1,4,4,Thunder Thighs,Josh Swing,3929630,Saquon Barkley,,0,False
5,1,5,11,Dez (Bryant) Nuts,Gtgilbert88,3117251,Christian McCaffrey,RB,0,False
6,1,6,8,SCLSU Mud Dogs,jbray5,2976316,Michael Thomas,WR,0,False
7,1,7,6,This Year Will  Be A Brees ,zwthomas89; zthoma7700709,4242214,Clyde Edwards-Helaire,RB,0,False
8,1,8,2,Lamar  The Merrier!,Burns1981,3916387,Lamar Jackson,QB,0,False
9,1,9,13,Kamara Virus,tcspivey8,3054850,Alvin Kamara,RB,0,False
10,1,10,12,Rule  #76,dcputman,4047365,Josh Jacobs,RB,0,False
11,1,11,1,"Jim, Tannehill, Laundry ",cjhubauer,3116593,Dalvin Cook,RB,0,False
12,1,12,10,Maitland Tiburon,ESPNFAN8507141670,3043078,Derrick Henry,RB,0,False
13,2,1,10,Maitland Tiburon,ESPNFAN8507141670,16737,Mike Evans,WR,0,False
14,2,2,1,"Jim, Tannehill, Laundry ",cjhubauer,4045163,Miles Sanders,RB,0,False
15,2,3,12,Rule  #76,dcputman,2979843,Kenyan Drake,RB,0,False
16,2,4,13,Kamara Virus,tcspivey8,3116385,Joe Mixon,RB,0,False
17,2,5,2,Lamar  The Merrier!,Burns1981,13981,Mark Ingram II,RB,0,False
18,2,6,6,This Year Will  Be A Brees ,zwthomas89; zthoma7700709,3116406,Tyreek Hill,WR,0,False
19,2,7,8,SCLSU Mud Dogs,jbray5,16800,Davante Adams,WR,0,False
20,2,8,11,Dez (Bryant) Nuts,Gtgilbert88,3919596,Chris Carson,RB,0,False
21,2,9,4,Thunder Thighs,Josh Swing,15847,Travis Kelce,TE,0,False
22,2,10,3,Jim Ward's Ole Dick Necks,Henry Munford,3139477,Patrick Mahomes,QB,0,False
23,2,11,5,Russ Finna Cuck,payton9218600,2977644,Todd Gurley II,RB,0,False
24,2,12,9,Tonie's Tigers,crtaylor225,3068267,Austin Ekeler,RB,0,False
25,3,1,9,Tonie's Tigers,crtaylor225,13982,Julio Jones,WR,0,False
26,3,2,5,Russ Finna Cuck,payton9218600,16460,Adam Thielen,WR,0,False
27,3,3,3,Jim Ward's Ole Dick Necks,Henry Munford,2576434,Melvin Gordon III,RB,0,False
28,3,4,4,Thunder Thighs,Josh Swing,2974858,Kenny Golladay,WR,0,False
29,3,5,11,Dez (Bryant) Nuts,Gtgilbert88,15795,DeAndre Hopkins,WR,0,False
30,3,6,8,SCLSU Mud Dogs,jbray5,3040151,George Kittle,TE,0,False
31,3,7,6,This Year Will  Be A Brees ,zwthomas89; zthoma7700709,3045147,James Conner,RB,0,False
32,3,8,2,Lamar  The Merrier!,Burns1981,16733,Odell Beckham Jr.,,0,False
33,3,9,13,Kamara Virus,tcspivey8,3116165,Chris Godwin,WR,0,False
34,3,10,12,Rule  #76,dcputman,3915416,DJ Moore,WR,0,False
35,3,11,1,"Jim, Tannehill, Laundry ",cjhubauer,2976499,Amari Cooper,WR,0,False
36,3,12,10,Maitland Tiburon,ESPNFAN8507141670,2508176,David Johnson,RB,0,False
