team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
13,Kamara Virus,SPVY,tcspivey8,9,4,0,1753.7599999999998,1551.22,4,1,0
10,Maitland Tiburon,TIB,ESPNFAN8507141670,7,6,0,1409.7400000000002,1388.3,6,2,0
8,SCLSU Mud Dogs,SMD,jbray5,6,7,0,1501.2400000000002,1447.98,8,3,1
12,Rule  #76,76,dcputman,6,7,0,1505.62,1586.48,7,4,1
1,"Jim, Tannehill, Laundry ",BSHU,cjhubauer,11,2,0,1671.2,1420.92,1,5,0
5,Russ Finna Cuck,W3st,payton9218600,9,4,0,1625.72,1506.18,3,6,0
9,Tonie's Tigers,CT,crtaylor225,7,6,0,1483.1799999999998,1500.34,5,7,0
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,7,6,0,1560.46,1507.1,2,8,1
3,Jim Ward's Ole Dick Necks,MUNF,Henry Munford,3,10,0,1392.1999999999998,1597.3,12,9,1
2,Lamar  The Merrier!,LTM,Burns1981,3,10,0,1236.0400000000002,1574.98,11,10,1
6,This Year Will  Be A Brees ,THOM,zwthomas89; zthoma7700709,4,9,0,1408.76,1442.22,10,11,0
4,Thunder Thighs,TT,Josh Swing,6,7,0,1347.9,1372.8,9,12,1
