team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
1,"Here Kittle, Kittle",BSHU,cjhubauer,9,5,0,1751.14,1520.68,4,1,0
6,This Year Will  Be A Brees ,THOM,zwthomas89; zthoma7700709,8,6,0,1613.46,1682.48,6,2,0
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,7,7,0,1749.6,1697.0,7,3,1
4,Hurts So Good,HSG,Josh Swing,6,8,0,1625.3799999999997,1636.4,8,4,1
10,Maitland Tiburon,TIB,espnfan1709357526,10,4,0,1704.88,1551.68,2,5,0
2,Zeke -A Virus,ZAV,Burns1981,8,6,0,1711.94,1530.74,5,6,1
8,SCLSU Mud Dogs,SMD,jbray5,10,4,0,1639.78,1477.5,1,7,1
12,Rule  #76,76,dcputman,10,4,0,1673.3200000000002,1493.22,3,8,1
13,Dak in a Box,3X,tcspivey8,4,10,0,1420.5200000000002,1625.52,11,9,0
3,Jim Ward's Ole Dick Necks,MUNF,Henry Munford,4,10,0,1614.8,1702.4,9,10,1
5,Kissin Cousins ,W3st,payton9218600,4,10,0,1417.36,1718.7,10,11,0
9,Tonie's Tigers,CT,crtaylor225,4,10,0,1491.0800000000002,1776.94,12,12,0
