overall_pick,round_num,round_pick,team_id,team_name,owner,player_id,player_name,position,bid_amount,keeper
1,1,1,4,Hurts So Good,Josh Swing,4040715,Jalen Hurts,QB,0,False
2,1,2,6,This Year Will  Be A Brees ,zwthomas89; zthoma7700709,3916387,Lamar Jackson,QB,0,False
3,1,3,2,Zeke -A Virus,Burns1981,3918298,Josh Allen,QB,0,False
4,1,4,3,Jim Ward's Ole Dick Necks,Henry Munford,4038941,Justin Herbert,QB,0,False
5,1,5,11,Dez (Bryant) Nuts,Gtgilbert88,12483,Matthew Stafford,QB,0,False
6,1,6,9,Tonie's Tigers,crtaylor225,14876,Ryan Tannehill,QB,0,False
7,1,7,5,Kissin Cousins ,payton9218600,3915511,Joe Burrow,QB,0,False
8,1,8,1,"Here Kittle, Kittle",cjhubauer,14881,Russell Wilson,QB,0,False
9,1,9,12,Rule  #76,dcputman,8439,Aaron Rodgers,QB,0,False
10,1,10,8,SCLSU Mud Dogs,jbray5,3139477,Patrick Mahomes,QB,0,False
11,1,11,10,Maitland Tiburon,espnfan1709357526,3917315,Kyler Murray,QB,0,False
12,1,12,13,Dak in a Box,tcspivey8,2577417,Dak Prescott,QB,0,False
13,2,1,13,Dak in a Box,tcspivey8,3117251,Christian McCaffrey,,0,False
14,2,2,10,Maitland Tiburon,espnfan1709357526,4242214,Clyde Edwards-Helaire,RB,0,False
15,2,3,8,SCLSU Mud Dogs,jbray5,3116593,Dalvin Cook,RB,0,False
16,2,4,12,Rule  #76,dcputman,3043078,Derrick Henry,RB,0,False
17,2,5,1,"Here Kittle, Kittle",cjhubauer,3128720,Nick Chubb,RB,0,False
18,2,6,5,Kissin Cousins ,payton9218600,3059915,Kareem Hunt,RB,0,False
19,2,7,9,Tonie's Tigers,crtaylor225,3042519,Aaron Jones,RB,0,False
20,2,8,11,Dez (Bryant) Nuts,Gtgilbert88,3929630,Saquon Barkley,RB,0,False
21,2,9,3,Jim Ward's Ole Dick Necks,Henry Munford,3054850,Alvin Kamara,RB,0,False
22,2,10,2,Zeke -A Virus,Burns1981,3051392,Ezekiel Elliott,RB,0,False
23,2,11,6,This Year Will  Be A Brees ,zwthomas89; zthoma7700709,4242335,Jonathan Taylor,RB,0,False
24,2,12,4,Hurts So Good,Josh Swing,3068267,Austin Ekeler,RB,0,False
25,3,1,4,Hurts So Good,Josh Swing,4239996,Travis Etienne Jr.,,0,False
26,3,2,6,This Year Will  Be A Brees ,zwthomas89; zthoma7700709,4035538,David Montgomery,RB,0,False
27,3,3,2,Zeke -A Virus,Burns1981,4241985,J.K. Dobbins,,0,False
