week,is_regular,team_id,team_name,points,opp_team_id,opp_team_name,is_bye,outcome
1,True,1,Nico Suave,77.72,13,Christopher's Kryptonite ,False,L
1,True,3,Jim Ward's Ole Dick Necks,96.02,4,Injured Reserve ,False,L
1,True,4,Injured Reserve ,105.18,3,Jim Ward's Ole Dick Necks,False,W
1,True,5,Flowers for Allgeiernon,115.5,9,Men of Will,False,L
1,True,6,Thom-ASS,113.28,10,Silence of the Lamb,False,L
1,True,8,SCLSU Mud Dogs,93.72,11,ConcreteJungleWet DreamTomato,False,L
1,True,9,Men of Will,116.66,5,Flowers for Allgeiernon,False,W
1,True,10,Silence of the Lamb,114.66,6,Thom-ASS,False,W
1,True,11,ConcreteJungleWet DreamTomato,108.42,8,SCLSU Mud Dogs,False,W
1,True,12,Blake's Holographic Charizard,90.4,14,Deston's Ride or Dies ,False,L
1,True,13,Christopher's Kryptonite ,87.82,1,Nico Suave,False,W
1,True,14,Deston's Ride or Dies ,132.12,12,Blake's Holographic Charizard,False,W
2,True,1,Nico Suave,85.74,6,Thom-ASS,False,L
2,True,3,Jim Ward's Ole Dick Necks,124.98,8,SCLSU Mud Dogs,False,W
2,True,4,Injured Reserve ,141.8,12,Blake's Holographic Charizard,False,W
2,True,5,Flowers for Allgeiernon,134.9,13,Christopher's Kryptonite ,False,W
2,True,6,Thom-ASS,108.34,1,Nico Suave,False,W
2,True,8,SCLSU Mud Dogs,109.6,3,Jim Ward's Ole Dick Necks,False,L
2,True,9,Men of Will,76.82,10,Silence of the Lamb,False,L
2,True,10,Silence of the Lamb,130.9,9,Men of Will,False,W
2,True,11,ConcreteJungleWet DreamTomato,131.88,14,Deston's Ride or Dies ,False,W
2,True,12,Blake's Holographic Charizard,110.98,4,Injured Reserve ,False,L
2,True,13,Christopher's Kryptonite ,96.64,5,Flowers for Allgeiernon,False,L
2,True,14,Deston's Ride or Dies ,94.88,11,ConcreteJungleWet DreamTomato,False,L
3,True,1,Nico Suave,123.74,10,Silence of the Lamb,False,W
3,True,3,Jim Ward's Ole Dick Necks,103.52,11,ConcreteJungleWet DreamTomato,False,W
3,True,4,Injured Reserve ,94.32,14,Deston's Ride or Dies ,False,L
3,True,5,Flowers for Allgeiernon,96.36,6,Thom-ASS,False,L
3,True,6,Thom-ASS,167.14,5,Flowers for Allgeiernon,False,W
3,True,8,SCLSU Mud Dogs,127.38,12,Blake's Holographic Charizard,False,W
3,True,9,Men of Will,99.72,13,Christopher's Kryptonite ,False,L
3,True,10,Silence of the Lamb,98.02,1,Nico Suave,False,L
3,True,11,ConcreteJungleWet DreamTomato,96.06,3,Jim Ward's Ole Dick Necks,False,L
3,True,12,Blake's Holographic Charizard,99.52,8,SCLSU Mud Dogs,False,L
3,True,13,Christopher's Kryptonite ,151.82,9,Men of Will,False,W
3,True,14,Deston's Ride or Dies ,98.96,4,Injured Reserve ,False,W
4,True,1,Nico Suave,100.78,9,Men of Will,False,L
4,True,3,Jim Ward's Ole Dick Necks,117.02,12,Blake's Holographic Charizard,False,W
4,True,4,Injured Reserve ,107.06,11,ConcreteJungleWet DreamTomato,False,L
4,True,5,Flowers for Allgeiernon,91.3,10,Silence of the Lamb,False,L
4,True,6,Thom-ASS,121.7,13,Christopher's Kryptonite ,False,W
4,True,8,SCLSU Mud Dogs,108.72,14,Deston's Ride or Dies ,False,L
4,True,9,Men of Will,127.06,1,Nico Suave,False,W
4,True,10,Silence of the Lamb,137.38,5,Flowers for Allgeiernon,False,W
4,True,11,ConcreteJungleWet DreamTomato,152.9,4,Injured Reserve ,False,W
4,True,12,Blake's Holographic Charizard,69.58,3,Jim Ward's Ole Dick Necks,False,L
4,True,13,Christopher's Kryptonite ,114.38,6,Thom-ASS,False,L
4,True,14,Deston's Ride or Dies ,170.64,8,SCLSU Mud Dogs,False,W
5,True,1,Nico Suave,112.38,5,Flowers for Allgeiernon,False,L
5,True,3,Jim Ward's Ole Dick Necks,124.74,14,Deston's Ride or Dies ,False,L
5,True,4,Injured Reserve ,107.36,8,SCLSU Mud Dogs,False,L
5,True,5,Flowers for Allgeiernon,123.4,1,Nico Suave,False,W
5,True,6,Thom-ASS,158.7,9,Men of Will,False,W
5,True,8,SCLSU Mud Dogs,123.34,4,Injured Reserve ,False,W
5,True,9,Men of Will,92.92,6,Thom-ASS,False,L
5,True,10,Silence of the Lamb,112.42,13,Christopher's Kryptonite ,False,L
5,True,11,ConcreteJungleWet DreamTomato,99.82,12,Blake's Holographic Charizard,False,L
5,True,12,Blake's Holographic Charizard,130.12,11,ConcreteJungleWet DreamTomato,False,W
5,True,13,Christopher's Kryptonite ,119.5,10,Silence of the Lamb,False,W
5,True,14,Deston's Ride or Dies ,131.22,3,Jim Ward's Ole Dick Necks,False,W
6,True,1,Nico Suave,135.04,4,Injured Reserve ,False,W
6,True,3,Jim Ward's Ole Dick Necks,115.08,13,Christopher's Kryptonite ,False,L
6,True,4,Injured Reserve ,110.84,1,Nico Suave,False,L
6,True,5,Flowers for Allgeiernon,103.34,8,SCLSU Mud Dogs,False,W
6,True,6,Thom-ASS,121.32,12,Blake's Holographic Charizard,False,L
6,True,8,SCLSU Mud Dogs,71.14,5,Flowers for Allgeiernon,False,L
6,True,9,Men of Will,62.4,11,ConcreteJungleWet DreamTomato,False,L
6,True,10,Silence of the Lamb,130.74,14,Deston's Ride or Dies ,False,W
6,True,11,ConcreteJungleWet DreamTomato,85.58,9,Men of Will,False,W
6,True,12,Blake's Holographic Charizard,128.78,6,Thom-ASS,False,W
6,True,13,Christopher's Kryptonite ,122.58,3,Jim Ward's Ole Dick Necks,False,W
6,True,14,Deston's Ride or Dies ,67.2,10,Silence of the Lamb,False,L
7,True,1,Nico Suave,109.86,3,Jim Ward's Ole Dick Necks,False,L
7,True,3,Jim Ward's Ole Dick Necks,113.4,1,Nico Suave,False,W
7,True,4,Injured Reserve ,113.12,6,Thom-ASS,False,L
7,True,5,Flowers for Allgeiernon,150.78,11,ConcreteJungleWet DreamTomato,False,W
7,True,6,Thom-ASS,140.74,4,Injured Reserve ,False,W
7,True,8,SCLSU Mud Dogs,160.44,10,Silence of the Lamb,False,W
7,True,9,Men of Will,124.06,12,Blake's Holographic Charizard,False,W
7,True,10,Silence of the Lamb,111.98,8,SCLSU Mud Dogs,False,L
7,True,11,ConcreteJungleWet DreamTomato,115.74,5,Flowers for Allgeiernon,False,L
7,True,12,Blake's Holographic Charizard,79.58,9,Men of Will,False,L
7,True,13,Christopher's Kryptonite ,101.04,14,Deston's Ride or Dies ,False,W
7,True,14,Deston's Ride or Dies ,98.04,13,Christopher's Kryptonite ,False,L
8,True,1,Nico Suave,92.22,14,Deston's Ride or Dies ,False,L
8,True,3,Jim Ward's Ole Dick Necks,161.18,6,Thom-ASS,False,W
8,True,4,Injured Reserve ,78.08,9,Men of Will,False,L
8,True,5,Flowers for Allgeiernon,89.92,12,Blake's Holographic Charizard,False,L
8,True,6,Thom-ASS,138.06,3,Jim Ward's Ole Dick Necks,False,L
8,True,8,SCLSU Mud Dogs,122.02,13,Christopher's Kryptonite ,False,W
8,True,9,Men of Will,119.52,4,Injured Reserve ,False,W
