team_id,team_name,player_id,player_name,position,pro_team,total_points,projected_total_points
1,Nico Suave,4258173,Nico Collins,WR,HOU,190.7,239.0
1,Nico Suave,4685382,Omarion Hampton,RB,LAC,120.7,239.01
1,Nico Suave,4426354,George Pickens,WR,DAL,247.4,185.27
1,Nico Suave,3916433,Jakobi Meyers,WR,JAX,139.3,175.66
1,Nico Suave,3116365,Mark Andrews,TE,BAL,109.0,142.72
1,Nico Suave,2577417,Dak Prescott,QB,DAL,315.78,285.8
1,Nico Suave,3929645,Juwan Johnson,TE,NO,141.4,91.39
1,Nico Suave,4371733,Kenneth Gainwell,RB,PIT,190.8,177.08
1,Nico Suave,-16005,Browns D/ST,D/ST,CLE,143.0,68.61
1,Nico Suave,4688813,Josh Downs,WR,IND,109.4,141.75
1,Nico Suave,4430968,Kimani Vidal,RB,LAC,112.9,0.0
1,Nico Suave,4431299,Rome Odunze,WR,CHI,124.1,181.31
1,Nico Suave,4567048,Kenneth Walker III,RB,SEA,178.4,216.01
1,Nico Suave,4568490,RJ Harvey,RB,DEN,183.1,184.27
1,Nico Suave,4034949,Eddy Pineiro,K,SF,139.0,0.0
1,Nico Suave,-16008,Lions D/ST,D/ST,DET,91.0,122.53
1,Nico Suave,2612151,Alex Singleton,LB,DEN,139.0,178.76
3,Jim Ward's Ole Dick Necks,4429160,De'Von Achane,RB,MIA,292.3,270.33
3,Jim Ward's Ole Dick Necks,4047646,A.J. Brown,WR,PHI,181.3,230.05
3,Jim Ward's Ole Dick Necks,4569618,Garrett Wilson,WR,NYJ,82.5,196.7
3,Jim Ward's Ole Dick Necks,4259545,D'Andre Swift,RB,CHI,211.6,208.19
3,Jim Ward's Ole Dick Necks,4372016,Jaylen Waddle,WR,MIA,167.12,182.74
3,Jim Ward's Ole Dick Necks,4036378,Jordan Love,QB,GB,236.14,264.55
3,Jim Ward's Ole Dick Necks,3121023,Dallas Goedert,TE,PHI,157.1,124.44
3,Jim Ward's Ole Dick Necks,4038941,Justin Herbert,QB,LAC,288.88,284.48
3,Jim Ward's Ole Dick Necks,4043130,Jordyn Brooks,LB,MIA,194.0,154.34
3,Jim Ward's Ole Dick Necks,-16009,Packers D/ST,D/ST,GB,77.0,100.77
3,Jim Ward's Ole Dick Necks,3117256,Dalton Schultz,TE,HOU,138.7,99.79
3,Jim Ward's Ole Dick Necks,3043078,Derrick Henry,RB,BAL,273.0,272.8
3,Jim Ward's Ole Dick Necks,4569923,Andy Borregales,K,NE,145.0,128.88
3,Jim Ward's Ole Dick Necks,-16024,Chargers D/ST,D/ST,LAC,119.0,72.66
3,Jim Ward's Ole Dick Necks,4567096,John Metchie III,WR,NYJ,56.4,1.09
3,Jim Ward's Ole Dick Necks,4433970,J.J. McCarthy,QB,MIN,125.38,282.57
3,Jim Ward's Ole Dick Necks,3116724,Germaine Pratt,LB,IND,134.0,129.51
3,Jim Ward's Ole Dick Necks,-16023,Steelers D/ST,D/ST,PIT,113.0,132.67
4,Injured Reserve ,4374302,Amon-Ra St. Brown,WR,DET,270.5,232.27
4,Injured Reserve ,4047365,Josh Jacobs,RB,GB,219.1,262.2
4,Injured Reserve ,4361370,Chris Olave,WR,NO,219.0,168.18
4,Injured Reserve ,4430027,Sam LaPorta,TE,DET,87.9,154.47
4,Injured Reserve ,4569173,Rhamondre Stevenson,RB,NE,162.8,158.39
4,Injured Reserve ,3052587,Baker Mayfield,QB,TB,271.92,310.96
4,Injured Reserve ,3126486,Deebo Samuel,WR,WSH,157.2,171.47
4,Injured Reserve ,4569987,Jaylen Warren,RB,PIT,197.1,220.23
4,Injured Reserve ,4429096,Blake Corum,RB,LAR,120.2,67.77
4,Injured Reserve ,4432577,C.J. Stroud,QB,HOU,208.54,280.36
4,Injured Reserve ,3915189,Roquan Smith,LB,BAL,138.0,168.29
4,Injured Reserve ,15835,Zach Ertz,TE,WSH,102.4,112.98
4,Injured Reserve ,4429022,Kayshon Boutte,WR,NE,108.6,89.88
4,Injured Reserve ,4430871,Sean Tucker,RB,TB,87.4,26.22
4,Injured Reserve ,4035232,Tyrel Dodson,LB,MIA,145.0,135.96
4,Injured Reserve ,-16013,Raiders D/ST,D/ST,LV,75.0,58.3
4,Injured Reserve ,4574716,Harrison Mevis,K,LAR,81.0,0.0
5,Flowers for Allgeiernon,4362628,Ja'Marr Chase,WR,CIN,256.1,281.68
5,Flowers for Allgeiernon,4430737,Kyren Williams,RB,LAR,245.3,266.29
5,Flowers for Allgeiernon,4361307,Trey McBride,TE,ARI,252.9,202.67
5,Flowers for Allgeiernon,4239996,Travis Etienne Jr.,RB,JAX,236.9,164.06
5,Flowers for Allgeiernon,4241478,DeVonta Smith,WR,PHI,163.3,178.91
5,Flowers for Allgeiernon,4429615,Zay Flowers,WR,BAL,202.3,195.72
5,Flowers for Allgeiernon,4373626,Tyler Allgeier,RB,ATL,121.0,98.24
5,Flowers for Allgeiernon,12483,Matthew Stafford,QB,LAR,351.38,274.08
5,Flowers for Allgeiernon,4431280,Troy Franklin,WR,DEN,146.6,66.85
5,Flowers for Allgeiernon,-16030,Jaguars D/ST,D/ST,JAX,139.0,87.31
5,Flowers for Allgeiernon,4608686,Kyle Monangai,RB,CHI,137.7,47.46
5,Flowers for Allgeiernon,4248528,Christian Watson,WR,GB,115.9,43.12
5,Flowers for Allgeiernon,2473037,Jason Myers,K,SEA,197.0,136.51
5,Flowers for Allgeiernon,4887558,Emanuel Wilson,RB,GB,88.0,29.25
5,Flowers for Allgeiernon,4876017,Carson Schwesinger,LB,CLE,165.0,124.04
5,Flowers for Allgeiernon,4360310,Trevor Lawrence,QB,JAX,338.18,279.32
5,Flowers for Allgeiernon,-16002,Bills D/ST,D/ST,BUF,117.0,100.27
