"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1,539.0","9.0","13.6","85.0","1.4","1.0","222.8"
"Ja'Marr Chase","CIN","121.2","1,510.2","10.6","3.0","17.0","0.0","1.0","214.4"
"Jaxon Smith-Njigba","SEA","110.9","1,568.2","9.2","5.5","30.4","0.1","1.1","213.1"
"Amon-Ra St. Brown","DET","117.0","1,390.3","10.5","3.1","11.8","0.0","0.4","202.4"
"Drake London","ATL","101.7","1,329.6","9.4","0.0","0.0","0.0","1.0","187.6"
"CeeDee Lamb","DAL","97.7","1,298.1","7.5","2.4","12.5","0.0","0.3","175.7"
"Rashee Rice","KC","98.7","1,099.2","9.7","5.4","25.5","0.9","0.6","174.5"
"Justin Jefferson","MIN","98.6","1,302.0","6.8","1.3","5.5","0.0","0.3","171.0"
"George Pickens","DAL","82.7","1,202.7","8.4","0.3","-0.3","0.0","0.5","169.7"
"A.J. Brown","NE","88.7","1,234.3","7.6","0.0","0.0","0.0","0.3","168.7"
"Nico Collins","HOU","82.5","1,213.2","7.3","1.4","8.3","0.4","0.8","166.1"
"Chris Olave","NO","94.1","1,169.1","7.8","0.3","0.0","0.0","0.3","163.1"
"Zay Flowers","BAL","81.9","1,168.2","6.5","9.9","58.8","0.5","1.5","161.6"
"Emeka Egbuka","TB","72.9","1,096.6","7.5","1.4","7.3","0.0","0.3","154.9"
"Davante Adams","LAR","68.5","925.9","10.2","0.0","0.0","0.0","0.2","153.5"
"Jameson Williams","DET","64.4","1,064.9","6.6","7.3","42.0","0.5","0.2","152.8"
"Tee Higgins","CIN","70.7","964.6","9.1","0.0","0.0","0.0","0.2","150.6"
"Tetairoa McMillan","CAR","78.3","1,121.9","6.4","0.0","0.0","0.0","0.9","148.9"
"DeVonta Smith","PHI","87.8","1,134.7","6.0","0.0","0.0","0.0","0.3","148.9"
"Malik Nabers","NYG","75.4","1,014.3","7.9","2.7","7.5","0.0","0.3","148.9"
"Garrett Wilson","NYJ","97.5","1,106.2","6.4","1.1","4.3","0.0","1.1","147.7"
"Rome Odunze","CHI","63.4","980.0","8.1","0.3","1.3","0.0","0.3","146.4"
"Alec Pierce","IND","64.0","1,048.9","6.5","0.0","0.0","0.0","0.3","143.2"
"Terry McLaurin","WAS","71.6","982.6","7.6","0.3","0.3","0.0","0.3","143.2"
"DJ Moore","BUF","69.1","899.6","7.0","10.3","54.0","0.5","0.8","138.6"
"Ladd McConkey","LAC","76.9","976.9","6.4","0.0","0.0","0.0","0.3","135.6"
"Luther Burden III","CHI","72.7","972.7","5.7","7.7","38.2","0.1","0.3","135.3"
"Jaylen Waddle","DEN","74.6","983.8","6.0","1.7","12.4","0.0","0.3","135.1"
"Courtland Sutton","DEN","69.4","902.9","7.5","0.0","0.0","0.0","0.2","134.9"
"Christian Watson","GB","56.0","901.6","7.4","1.7","8.0","0.0","0.3","134.9"
"Mike Evans","SF","65.1","918.0","6.7","0.0","0.0","0.0","0.2","131.7"
"DK Metcalf","PIT","64.2","923.4","6.0","0.7","3.3","0.3","0.2","130.5"
"Marvin Harrison Jr.","ARI","67.2","945.3","6.0","0.0","0.0","0.0","0.3","130.0"
"Brian Thomas Jr.","JAC","55.7","837.7","5.3","2.7","18.0","0.4","0.2","119.6"
"Parker Washington","JAC","60.9","843.6","5.4","5.3","13.6","0.1","0.4","117.8"
"Quentin Johnston","LAC","53.6","755.9","6.9","1.7","6.3","0.0","0.7","116.1"
"Jakobi Meyers","JAC","70.6","814.5","5.4","4.7","23.0","0.1","0.8","115.1"
"Carnell Tate","TEN","66.3","902.7","4.5","0.7","3.0","0.0","1.4","115.1"
"Jordan Addison","MIN","55.2","757.6","5.4","2.7","37.1","0.4","0.2","113.6"
"Jayden Reed","GB","62.8","757.8","4.8","12.0","86.6","0.1","0.4","113.3"
"Xavier Worthy","KC","55.1","721.8","4.2","15.5","99.3","0.9","0.2","112.1"
"Michael Pittman Jr.","PIT","80.5","803.3","5.0","0.0","0.0","0.0","0.3","109.4"
"Jordyn Tyson","NO","63.2","856.5","4.3","0.7","3.3","0.0","1.3","109.2"
"Ricky Pearsall","SF","59.7","832.0","3.9","4.2","21.2","0.1","0.3","108.7"
"Chris Godwin Jr.","TB","67.8","772.8","5.2","0.3","0.3","0.0","0.3","107.8"
"Michael Wilson","ARI","66.3","810.6","4.4","0.0","0.7","0.0","0.2","107.2"
"Rashid Shaheed","SEA","49.9","754.7","3.7","13.4","88.8","0.3","0.8","106.7"
"Romeo Doubs","NE","57.8","751.3","5.3","0.0","0.0","0.0","0.3","106.5"
"Wan'Dale Robinson","TEN","83.0","833.8","3.6","2.0","9.5","0.1","0.3","105.9"
"Makai Lemon","PHI","56.8","798.1","4.6","1.5","7.0","0.0","1.3","105.6"
"Calvin Ridley","TEN","48.1","785.4","3.3","4.5","27.5","0.6","0.2","104.3"
"Matthew Golden","GB","54.9","731.6","4.2","5.5","27.3","0.1","0.4","101.0"
"Khalil Shakir","BUF","72.4","748.1","4.2","1.1","5.5","0.0","0.8","99.4"
"John Metchie III","CAR","65.0","617.0","6.0","3.0","-4.0","0.0","0.0","97.7"
"Theo Wease Jr.","MIA","48.0","685.0","5.0","2.0","8.0","0.0","1.0","97.3"
"Josh Downs","IND","74.9","722.2","4.2","1.4","4.3","0.0","0.8","96.6"
"Jalen Coker","CAR","57.4","694.7","4.6","0.0","0.0","0.0","0.8","95.3"
"Rashod Bateman","BAL","38.3","594.4","6.0","0.0","0.0","0.0","0.2","95.0"
"Tre Tucker","LV","50.1","634.1","3.8","11.2","52.9","0.2","0.1","92.0"
"Jerry Jeudy","CLE","54.2","746.8","2.9","0.5","2.0","0.0","0.7","90.5"
"KC Concepcion","CLE","55.7","707.8","3.1","4.2","22.4","0.1","1.3","89.8"
"Jayden Higgins","HOU","49.3","608.8","4.7","0.0","0.0","0.0","0.2","88.8"
"Jalen McMillan","TB","46.6","605.7","3.9","4.7","26.8","0.1","0.2","87.0"
