"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Trevor Etienne","CAR","2.8","11.1","0.1","0.6","5.4","0.0","0.0","2.4"
"Devin Neal","NO","3.1","13.1","0.1","0.4","3.1","0.0","0.0","2.3"
"Will Shipley","PHI","2.5","12.8","0.1","0.5","4.3","0.0","0.0","2.2"
"Sean Tucker","TB","2.7","13.4","0.1","0.3","2.7","0.0","0.0","2.2"
"Isaac Guerendo","SF","3.2","11.9","0.1","0.4","3.4","0.0","0.0","2.1"
"Chris Brooks","GB","2.4","12.2","0.1","0.5","3.3","0.0","0.0","2.0"
"Tyler Badie","DEN","2.3","10.5","0.0","0.6","4.1","0.0","0.0","1.9"
"Brashard Smith","KC","2.5","10.5","0.1","0.4","2.9","0.0","0.0","1.9"
"Raheem Mostert","LV","2.0","8.0","0.0","1.0","7.0","0.1","0.0","1.8"
"Quinshon Judkins","CLE","1.5","6.4","0.1","0.8","6.3","0.0","0.0","1.7"
"Hassan Haskins","LAC","2.0","6.5","0.1","0.6","4.4","0.0","0.1","1.7"
"Emari Demercado","KC","1.5","9.3","0.1","0.5","3.7","0.0","0.0","1.7"
"AJ Dillon","CAR","2.3","8.3","0.1","0.2","1.5","0.0","0.0","1.4"
"Kyle Juszczyk","SF","0.3","1.4","0.0","1.0","8.8","0.1","0.1","1.3"
"Dylan Laube","LV","1.6","6.0","0.0","0.4","3.1","0.0","0.0","1.2"
"Isaiah Davis","NYJ","1.7","7.0","0.1","0.2","1.5","0.0","0.0","1.2"
"Kimani Vidal","LAC","1.6","5.7","0.0","0.3","2.9","0.1","0.0","1.2"
"LeQuint Allen Jr.","JAC","1.0","4.9","0.1","0.2","1.7","0.0","0.0","1.0"
"Ty Chandler","NO","1.4","6.4","0.0","0.2","1.6","0.0","0.0","1.0"
"Kalel Mullings","TEN","0.9","4.6","0.1","0.1","1.3","0.0","0.0","0.9"
"Alec Ingold","LAC","0.6","1.6","0.1","0.5","3.8","0.0","0.0","0.9"
"Raheim Sanders","CLE","1.7","4.5","0.1","0.1","1.1","0.0","0.0","0.9"
"George Holani","SEA","0.0","5.5","0.0","0.1","1.1","0.0","0.0","0.6"
"Hunter Luepke","DAL","0.6","2.0","0.0","0.3","2.8","0.0","0.0","0.5"
"Kenny McIntosh","SEA","0.5","2.1","0.0","0.2","1.8","0.0","0.0","0.5"
"Andrew Beck","NYJ","0.1","0.1","0.1","0.2","0.6","0.0","0.0","0.4"
"Rasheen Ali","BAL","0.3","1.2","0.0","0.1","0.8","0.0","0.0","0.3"
"Robbie Ouzts","SEA","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.2"
"Scott Matlock","LAC","0.0","0.0","0.0","0.1","0.9","0.0","0.0","0.1"
"Reggie Gilliam","NE","0.2","0.4","0.0","0.0","0.1","0.0","0.0","0.1"
"Adam Prentice","DEN","0.1","0.3","0.0","0.0","0.1","0.0","0.0","0.0"
"Eric Gray","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ameer Abdullah","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Burton","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Patrick Ricard","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chase Edmonds","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Travis Homer","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Patrick Taylor Jr.","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Carter","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Elijah Mitchell","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Phil Mafah","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Goodson","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Audric Estime","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MarShawn Lloyd","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sincere McCormick","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ronnie Rivers","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Pierre Strong Jr.","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Velus Jones Jr.","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jarquez Hunter","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaydon Blue","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Israel Abanikanda","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyjae Spears","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaton Mitchell","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carlos Washington Jr.","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaleel McLaughlin","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Damien Martinez","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Frank Gore Jr.","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaylen Wright","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sione Vaki","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carson Steele","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Terrell Jennings","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan James","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Carter","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
