"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tory Horton","SEA","2.4","28.9","0.2","0.1","0.5","0.0","0.1","3.8"
"JuJu Smith-Schuster","NYG","2.4","26.8","0.2","0.0","0.0","0.0","0.0","3.7"
"Christian Kirk","SF","2.0","27.5","0.2","0.0","0.0","0.0","0.0","3.7"
"Kayshon Boutte","NE","1.9","26.3","0.2","0.0","0.1","0.0","0.0","3.6"
"Andrei Iosivas","CIN","1.8","23.0","0.2","0.0","0.0","0.0","0.0","3.6"
"Dyami Brown","WAS","2.1","27.6","0.1","0.0","0.4","0.0","0.0","3.6"
"KaVontae Turpin","DAL","1.6","19.2","0.1","0.9","5.6","0.0","0.0","3.3"
"Troy Franklin","DEN","1.9","22.1","0.2","0.1","0.4","0.0","0.0","3.3"
"Tutu Atwell","MIA","1.9","25.7","0.1","0.2","1.1","0.0","0.0","3.3"
"Jalen Tolbert","MIA","1.9","22.3","0.2","0.0","0.0","0.0","0.0","3.3"
"Luther Burden III","CHI","1.8","22.2","0.1","0.2","1.4","0.0","0.0","3.2"
"Tre' Harris","LAC","1.8","23.1","0.1","0.1","0.4","0.0","0.0","3.0"
"Elic Ayomanor","TEN","2.0","23.2","0.1","0.0","0.3","0.0","0.0","3.0"
"Jamari Thrash","CLE","1.8","22.0","0.1","0.0","0.1","0.0","0.0","3.0"
"Malik Washington","MIA","1.9","19.8","0.1","0.2","1.1","0.0","0.1","2.8"
"Devaughn Vele","NO","1.9","21.3","0.1","0.0","0.1","0.0","0.0","2.8"
"Greg Dortch","DET","1.7","18.5","0.1","0.3","1.8","0.0","0.0","2.8"
"Jaylin Noel","HOU","1.7","21.4","0.1","0.0","0.5","0.0","0.0","2.8"
"Dontayvion Wicks","PHI","1.4","18.1","0.2","0.0","0.1","0.0","0.0","2.8"
"Jordan Whittington","LAR","1.7","20.1","0.1","0.1","0.8","0.0","0.0","2.7"
"Kyle Williams","NE","1.6","19.2","0.1","0.1","0.8","0.0","0.0","2.7"
"Pat Bryant","DEN","1.5","18.0","0.1","0.1","0.2","0.0","0.0","2.6"
"Xavier Hutchinson","HOU","1.5","19.1","0.1","0.0","0.2","0.0","0.0","2.6"
"David Moore","CAR","1.5","19.3","0.1","0.0","0.0","0.0","0.0","2.6"
"Van Jefferson","WAS","1.5","19.2","0.1","0.0","0.0","0.0","0.0","2.5"
"Parker Washington","JAC","1.3","15.8","0.1","0.0","0.2","0.0","0.0","2.4"
"Isaac TeSlaa","DET","1.5","17.3","0.1","0.0","0.0","0.0","0.0","2.4"
"Olamide Zaccheaus","ATL","1.5","17.4","0.1","0.1","0.3","0.0","0.0","2.3"
