"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.4","1,380.5","13.8","70.9","580.2","4.1","1.1","301.5"
"Bijan Robinson","ATL","289.5","1,426.4","9.5","79.6","737.1","3.5","1.8","290.3"
"Jonathan Taylor","IND","327.4","1,509.8","12.9","43.8","326.7","1.4","1.7","265.9"
"Christian McCaffrey","SF","270.9","1,099.4","9.2","75.9","669.4","4.7","1.1","257.8"
"Derrick Henry","BAL","314.0","1,568.1","13.4","17.8","172.1","0.7","1.7","255.1"
"James Cook III","BUF","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","236.9"
"De'Von Achane","MIA","237.9","1,197.5","6.0","65.3","490.6","4.0","1.0","226.7"
"Saquon Barkley","PHI","295.8","1,310.8","8.2","41.7","330.3","2.1","1.0","224.1"
"Josh Jacobs","GB","288.7","1,160.8","12.0","35.7","283.7","1.2","1.3","221.1"
"Ashton Jeanty","LV","281.4","1,107.1","8.0","58.6","414.4","3.3","1.1","218.2"
"Chase Brown","CIN","239.4","1,040.0","7.5","64.4","430.1","3.9","1.1","213.2"
"Omarion Hampton","LAC","249.1","1,072.9","10.0","51.6","352.6","2.0","1.1","211.9"
"Kyren Williams","LAR","240.2","1,118.1","10.1","33.5","239.6","2.2","1.5","206.3"
"Breece Hall","NYJ","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","206.2"
"Kenneth Walker III","KC","255.7","1,158.1","8.3","45.1","347.2","1.2","0.9","206.1"
"Javonte Williams","DAL","257.5","1,167.4","10.4","33.0","192.2","1.2","1.6","202.0"
"Jeremiyah Love","ARI","238.3","1,078.7","7.2","54.4","419.5","2.1","2.2","201.3"
"Cam Skattebo","NYG","243.4","1,015.7","8.1","45.8","364.0","2.5","1.6","198.5"
"Travis Etienne Jr.","NO","251.9","1,063.5","5.3","45.2","353.7","3.0","1.0","189.9"
"D'Andre Swift","CHI","233.1","1,052.8","8.0","34.8","299.8","1.0","1.0","187.8"
"Bucky Irving","TB","259.3","1,031.9","6.2","40.7","342.0","2.3","1.0","186.2"
"Quinshon Judkins","CLE","289.4","1,104.3","8.1","31.3","218.3","0.6","0.9","182.4"
"Bhayshul Tuten","JAC","243.0","992.6","8.2","29.2","221.6","2.1","2.2","179.2"
"TreVeyon Henderson","NE","190.1","885.9","7.3","37.7","261.5","1.2","0.9","163.9"
"David Montgomery","HOU","225.5","936.6","7.3","30.5","226.4","0.5","1.0","161.5"
"Jadarian Price","SEA","215.2","911.9","7.6","26.0","220.1","1.1","2.0","161.5"
"Tony Pollard","TEN","238.8","1,045.3","5.9","31.9","207.7","0.5","2.1","159.2"
"Rico Dowdle","PIT","206.6","899.0","6.2","32.1","225.6","1.0","1.0","153.6"
"J.K. Dobbins","DEN","218.2","1,020.7","6.6","17.7","94.3","0.6","0.7","152.9"
"Chuba Hubbard","CAR","208.8","841.5","5.4","36.3","259.6","1.8","1.5","150.8"
"Jaylen Warren","PIT","188.0","825.5","4.8","42.0","320.6","1.5","0.9","150.5"
"Rhamondre Stevenson","NE","168.8","733.6","6.5","36.8","309.8","1.6","2.1","149.1"
"Kyle Monangai","CHI","191.0","816.6","5.2","22.9","192.7","0.4","0.7","133.0"
"Jacory Croskey-Merritt","WAS","182.3","820.7","7.5","11.2","79.6","0.2","1.7","132.4"
"RJ Harvey","DEN","130.4","495.5","4.6","46.6","343.9","3.5","0.8","131.3"
"Rachaad White","WAS","139.9","618.2","5.4","39.0","263.3","1.6","0.8","128.4"
"Aaron Jones Sr.","MIN","160.0","681.9","3.6","41.0","303.3","1.7","1.6","127.0"
"Blake Corum","LAR","167.7","801.5","6.4","11.9","80.3","0.2","0.7","126.7"
"Jordan Mason","MIN","181.6","827.5","5.8","14.5","75.8","0.1","1.0","123.9"
"Kenny Gainwell","TB","110.7","485.2","3.8","49.7","351.6","2.0","0.9","116.6"
"Jonathon Brooks","CAR","154.8","623.7","3.9","25.1","192.9","1.1","1.4","108.4"
"Zach Charbonnet","SEA","130.5","532.3","5.6","19.8","147.0","0.5","0.7","103.2"
"Woody Marks","HOU","142.6","555.4","2.7","24.0","197.8","1.8","0.8","100.3"
"Isiah Pacheco","DET","139.2","581.1","3.5","21.1","136.1","0.6","0.8","94.8"
"Tyrone Tracy Jr.","NYG","118.3","502.6","2.5","26.3","203.3","1.2","0.8","91.0"
"Tyjae Spears","TEN","92.1","368.0","2.9","45.9","305.2","1.2","0.7","90.5"
"Chris Rodriguez Jr.","JAC","133.8","553.1","5.1","5.4","42.5","0.1","0.6","89.4"
"Alvin Kamara","NO","116.6","454.6","2.1","34.6","233.6","1.5","0.6","88.9"
"Brian Robinson Jr.","ATL","129.3","563.9","4.3","6.9","43.1","0.1","0.7","86.1"
"Justice Hill","BAL","56.4","273.5","2.2","34.7","303.0","1.8","0.2","81.3"
"Tyler Allgeier","ARI","111.7","428.1","4.2","17.0","108.5","0.2","0.6","78.5"
"Braelon Allen","NYJ","106.0","427.9","4.3","12.9","93.7","0.7","1.7","78.5"
"AJ Dillon","CAR","123.0","509.0","3.0","16.0","136.0","1.0","5.0","78.5"
"Samaje Perine","CIN","98.9","443.2","3.7","17.9","135.1","0.4","1.9","78.3"
"Jordan James","SF","102.3","416.6","3.2","16.1","148.3","0.7","1.2","77.2"
"Dylan Sampson","CLE","73.5","254.1","1.3","35.9","284.6","2.1","1.2","72.0"
"Ty Johnson","BUF","51.6","218.7","2.0","24.9","250.7","2.1","0.2","71.4"
"Kaelon Black","SF","98.1","387.6","3.2","8.6","79.4","0.6","1.1","67.1"
"Emari Demercado","KC","76.8","425.9","1.7","16.3","119.0","0.8","1.7","66.2"
"Tank Bigsby","PHI","85.6","419.4","3.2","3.3","29.3","0.1","0.2","64.0"
