overall_pick,round_num,round_pick,team_id,team_name,owner,player_id,player_name,position,bid_amount,keeper
1,1,1,5,Be Gentle,payton9218600,3116593,Dalvin Cook,RB,0,False
2,1,2,3,Jim Ward's Ole Dick Necks,Henry Munford,3115364,Leonard Fournette,RB,0,False
3,1,3,13,Afternoon TE Time,tcspivey8,3051392,Ezekiel Elliott,RB,0,False
4,1,4,10,High Noon,jtmurphree,3054850,Alvin Kamara,RB,0,False
5,1,5,1,Thielen and Dealin,cjhubauer,13934,Antonio Brown,WR,0,False
6,1,6,9,Tonie's Tigers,crtaylor225,3059915,Kareem Hunt,,0,False
7,1,7,6,"Dude, Where's  My Carr ",zwthomas89; zthoma7700709,15795,DeAndre Hopkins,WR,0,False
8,1,8,4,Bell yeah,bcornelius2,2508176,David Johnson,RB,0,False
9,1,9,11,Dez (Bryant) Nuts,Gtgilbert88,2576434,Melvin Gordon,RB,0,False
10,1,10,2,Rodger  That,jmodell10,15825,Le'Veon Bell,,0,False
11,1,11,12,Rule #76,dcputman,2977644,Todd Gurley II,RB,0,False
12,1,12,8,SCLSU Mud Dogs,jbray5,3929630,Saquon Barkley,RB,0,False
13,2,1,8,SCLSU Mud Dogs,jbray5,15818,Keenan Allen,WR,0,False
14,2,2,12,Rule #76,dcputman,3060022,Jordan Howard,RB,0,False
15,2,3,2,Rodger  That,jmodell10,13229,Rob Gronkowski,TE,0,False
16,2,4,11,Dez (Bryant) Nuts,Gtgilbert88,2976316,Michael Thomas,WR,0,False
17,2,5,4,Bell yeah,bcornelius2,13983,A.J. Green,,0,False
18,2,6,6,"Dude, Where's  My Carr ",zwthomas89; zthoma7700709,3117251,Christian McCaffrey,RB,0,False
19,2,7,9,Tonie's Tigers,crtaylor225,16733,Odell Beckham Jr.,WR,0,False
20,2,8,1,Thielen and Dealin,cjhubauer,12514,LeSean McCoy,RB,0,False
21,2,9,10,High Noon,jtmurphree,3116385,Joe Mixon,RB,0,False
22,2,10,13,Afternoon TE Time,tcspivey8,16800,Davante Adams,WR,0,False
23,2,11,3,Jim Ward's Ole Dick Necks,Henry Munford,13982,Julio Jones,WR,0,False
24,2,12,5,Be Gentle,payton9218600,16944,Devonta Freeman,,0,False
25,3,1,5,Be Gentle,payton9218600,5528,Larry Fitzgerald,WR,0,False
26,3,2,3,Jim Ward's Ole Dick Necks,Henry Munford,3116406,Tyreek Hill,WR,0,False
27,3,3,13,Afternoon TE Time,tcspivey8,16737,Mike Evans,WR,0,False
28,3,4,10,High Noon,jtmurphree,2976212,Stefon Diggs,WR,0,False
29,3,5,1,Thielen and Dealin,cjhubauer,16460,Adam Thielen,WR,0,False
30,3,6,9,Tonie's Tigers,crtaylor225,2976499,Amari Cooper,WR,0,False
31,3,7,6,"Dude, Where's  My Carr ",zwthomas89; zthoma7700709,15847,Travis Kelce,TE,0,False
32,3,8,4,Bell yeah,bcornelius2,2979843,Kenyan Drake,RB,0,False
33,3,9,11,Dez (Bryant) Nuts,Gtgilbert88,3046409,Alex Collins,,0,False
34,3,10,2,Rodger  That,jmodell10,8439,Aaron Rodgers,QB,0,False
35,3,11,12,Rule #76,dcputman,16782,Jerick McKinnon,,0,False
36,3,12,8,SCLSU Mud Dogs,jbray5,14924,T.Y. Hilton,WR,0,False
37,4,1,8,SCLSU Mud Dogs,jbray5,15835,Zach Ertz,TE,0,False
38,4,2,12,Rule #76,dcputman,16799,Allen Robinson,WR,0,False
39,4,3,2,Rodger  That,jmodell10,13295,Emmanuel Sanders,WR,0,False
40,4,4,11,Dez (Bryant) Nuts,Gtgilbert88,16731,Brandin Cooks,WR,0,False
41,4,5,4,Bell yeah,bcornelius2,13216,Demaryius Thomas,WR,0,False
42,4,6,6,"Dude, Where's  My Carr ",zwthomas89; zthoma7700709,2573300,Jay Ajayi,,0,False
43,4,7,9,Tonie's Tigers,crtaylor225,14886,Lamar Miller,RB,0,False
44,4,8,1,Thielen and Dealin,cjhubauer,10456,Marshawn Lynch,,0,False
45,4,9,10,High Noon,jtmurphree,13217,Golden Tate,,0,False
46,4,10,13,Afternoon TE Time,tcspivey8,16790,Jarvis Landry,WR,0,False
47,4,11,3,Jim Ward's Ole Dick Necks,Henry Munford,3043078,Derrick Henry,RB,0,False
48,4,12,5,Be Gentle,payton9218600,14221,Doug Baldwin,WR,0,False
49,5,1,5,Be Gentle,payton9218600,14054,Kyle Rudolph,TE,0,False
50,5,2,3,Jim Ward's Ole Dick Necks,Henry Munford,15705,Josh Gordon,WR,0,False
51,5,3,13,Afternoon TE Time,tcspivey8,3122840,Deshaun Watson,QB,0,False
52,5,4,10,High Noon,jtmurphree,14912,Alshon Jeffery,WR,0,False
53,5,5,1,Thielen and Dealin,cjhubauer,12563,Michael Crabtree,,0,False
54,5,6,9,Tonie's Tigers,crtaylor225,14402,Chris Hogan,,0,False
55,5,7,6,"Dude, Where's  My Carr ",zwthomas89; zthoma7700709,12649,Julian Edelman,WR,0,False
