team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
6,"Dude, Where's  My Carr ",THOM,zwthomas89; zthoma7700709,7,6,0,1628.6999999999998,1559.3,4,1,0
10,High Noon,MURP,jtmurphree,7,6,0,1569.8999999999999,1516.68,6,2,0
13,Afternoon TE Time,SPVY,tcspivey8,9,4,0,1829.7599999999998,1549.28,2,3,1
8,SCLSU Mud Dogs,SMD,jbray5,11,2,0,1894.46,1597.7,1,4,0
1,Thielen and Dealin,BSHU,cjhubauer,6,7,0,1526.8400000000001,1582.68,7,5,0
3,Jim Ward's Ole Dick Necks,MUNF,Henry Munford,7,6,0,1573.46,1500.34,5,6,1
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,8,5,0,1521.5799999999997,1459.26,3,7,1
9,Tonie's Tigers,CT,crtaylor225,6,7,0,1506.2799999999997,1524.46,8,8,0
5,Be Gentle,DVDA,payton9218600,3,10,0,1225.94,1594.92,12,9,0
12,Rule #76,76,dcputman,4,9,0,1533.0600000000002,1579.04,11,10,1
2,Rodger  That,ODE,jmodell10,6,7,0,1385.02,1450.52,9,11,1
4,Bell yeah,B,bcornelius2,4,9,0,1262.52,1543.34,10,12,1
